blunt	钝
wretchedly	可怜地
icehouse	冰库
Brownian motion	布朗运动
Anglo-Saxon	古英语
lanky	瘦长的
crib death	婴儿暴毙症
fall	掉
guide	指南
cast iron	铸铁
extirpate	殄
subvert	推翻
pickle	腌
cultural	文化
cloudberry	云莓
Himalayan	喜玛拉雅的
conveyor	运送器
cross-reference	前后参照
desalinize	除去盐分
hedonistic	快乐主义者的
rugby	橄榄球
patriotism	爱国心
press conference	记者招待会
Lucretius	卢克莱修
hippopotamus	河马
flying gurnard	豹鲂鮄
faith	信
cubic	立方体的
vastness	广大
incubation	孵化
Roman	罗马
nautilus	鹦鹉螺
megaton	兆吨
bleach	漂白
goblet	樽
cupule	壳斗
hepatoma	肝细胞瘤
jackpot	头奖
pretermit	默认
puncture	穿刺
moray	海鳝
puku	瓦氏赤羚
cytokine	细胞因子
yellow bile	脓
epidemiologist	流行病学家
tonne	吨
outcry	尖叫
wonder	奇迹
slime	淤泥
scrawl	涂鸦
blizzard	暴风雪
sender	寄件人
daddy longlegs	盲蛛目
equilateral	等边的
scam	诡计
codify	编成法典
differently	不同地
paranormal	超过正常的
promisingly	有希望地
reap	割
rout	破
OPEC	石油输出国家组织
electric field	电场
pneumococcal	肺炎球菌的
Paraguayan	巴拉圭的
Java	爪哇
hobnail	鞋钉
ilium	髂骨
hedgehog	刺猬
rebate	折扣
feverfew	菊科植物
agonize	折磨
grandnephew	侄孙
sensualist	好色者
micropenis	小阴茎
undemocratic	不民主
Silicon Valley	硅谷
lingua franca	通用语
from scratch	手工制作
epiphyllum	昙花
Wicca	威卡教
taillight	尾灯
schmuck	笨人
endocarditis	心内膜炎
Texas	得克萨斯州
resonance	谐振
socket	插座
budget	预算
blow	吹
pig	猪
consolidate	巩固
toponym	地名
salt mine	岩盐坑
drunk	醉
slavery	奴隶制度
affixation	附加
monotonic	单调的
swordsman	剑客
knobbly	有节的
perishable	会死的
airport	飞机场
Rachel	拉结
facial hair	胡子
Luxembourg	卢森堡
bulwark	防波堤
stable	厩
meditation	冥想
stepfather	继父
haddock	黑线鳕
random access memory	随机存取存储器
Middle Irish	中古爱尔兰文
Wolof	沃洛夫文
fickle	薄情
causeless	无显著原因的
bureaucratic	官僚的
pamper	放纵
impetigo	小脓庖疹
pulmonary embolism	肺栓塞
French kiss	舌吻
laughing gas	笑气
gravy boat	油壶
variegated horsetail	斑纹木贼
cavity	洞
gird	佩带
egalitarianism	平均主义
displacement	位移
speed up	加速
purchase order	采购订单
apologetics	辨惑学
believable	可信的
font	字体
bobcat	山猫之类
commando	突击队
congratulate	贺
gerontology	老人医学
lentil	扁豆
radically	根本地
tinamou	䳍
Irish Sea	爱尔兰海
chromatid	染色单体
manicurist	指甲修饰师
self-portrait	自画像
trail	曳
voluminous	滂
cascade	瀑布
goat	羊
interface	界面
abbey	修道院
telegraphy	电信
autocratically	独裁地
archer	射手
disjoint	解体
eight	八
firefighter	消防员
pursuant	依据的
triumphal	胜利的
Volgograd	伏尔加格勒
ululate	啼
kinetic energy	动能
acute triangle	锐角三角形
Socratic	苏格拉底的
India	印度
calcification	石灰化
constraint	约束
reciprocate	报答
implantation	培植
Maltese	马耳他语
Papua	巴布亚岛
emu	鸸鹋
equator	赤道
leer	秋波
persuasively	口才好地
prostatic	前列腺的
Odysseus	奥德修斯
outbreak	爆发
championship	冠军
sheriff	郡治安官
lifer	无期徒刑犯
cast away	播
barley	大麦
watercolourist	水彩画家
Central America	中美洲
Abkhaz	阿布哈兹语
lightly	轻
handler	训练者
pituitary gland	脑下垂体
dress	连衣裙
veneer	单板
orpiment	雌黄
treasurer	司库
due date	期限
maniacal	发狂的
defibrillator	去纤颤器
provincial	地方的
here	这里
rubber tree	橡胶树
real life	现实生活
meninx	脑膜
eugenics	优生学
inability	无力
Silurian	志留纪
Trinity	三位一体
triton	氚核
bustle	喧闹
indignity	侮辱
magnificent	壮丽
understandable	可懂的
rickets	佝偻病
barbituric acid	巴比妥酸
teratogenesis	畸形生长
avocet	反嘴鹊
brisket	胸肉
optative	祈愿的
kaon	中介子
sextant	六分仪
common seal	港海豹
adulterer	毐
bipedal	两足动物
pluralism	复数
trichotillomania	拔毛癖
hair of the dog	解醉酒
even	平
arrive	到
sugar apple	释迦
delicately	优美地
emphatic	语调强的
divided	分开的
dovetail	楔形榫头
hydrometry	液体比重测定
hydrated	含水的
savagery	野性
phobophobia	恐怖症恐惧
phrenological	骨相学的
doohickey	小玩意
irresistibility	不能抵抗
Genghis Khan	成吉思汗
azo dye	偶氮染料
days	天
banderillero	斗牛士
attain	达到
wage	工资
endure	承受
military	武
barbed wire	铁刺丝
medfly	地中海果蝇
meteorite	陨石
Cheyenne	夏延文
Sacramento	萨克拉门托
interested	感兴趣的
anchorage	下锚
commensurable	可通约
headlamp	前灯
inaugurate	开幕
veery	棕色夜鸫
root beer	根汁汽水
perineum	会阴
accessory fruit	附果
computer scientist	计算机科学家
appoint	任
domineer	作威作福
dough	生面团
council	委员会
focal point	重点
avatar	化身
interoperability	互操作性
session	会议
cape	海角
chronological	按年代序的
concertina	六角手风琴状
factorize	分解为因子
fist	拳头
gamopetalous	合瓣的
glide	溜
October	十月
civil engineer	土木工程师
edict	法令
pate	头顶
turpitude	奸恶
fasten	拴
fight	打架
scout	童子军
nick	缺口
borrow	借
derive	汲取
segmentation	分割
tubercle	小块茎
cerebrum	大脑
agreeably	愉快地
duenna	起居在一起的家庭教师
luff	船首弯曲部
pasture	牧场
Old Church Slavonic	古教会斯拉夫语
intermission	间歇
liar	说谎者
weather forecasting	天气预报
substance abuse	吸毒
eligibility	适任
annular eclipse	环蚀
carry	带
survey	调查
bring up	慉
remainder	㡜
writing	文字
round trip	往返
contagion	传染
music hall	杂耍剧
reducible	可变形的
torus	环面
Wyoming	怀俄明州
disappoint	失望
mossy	生苔的
polynomial	多项式
ordeal	折磨
scorecard	记分卡
coordination	协调
tee	T恤
case	箱
delve	穴
strand	股
juniper	刺柏
werewolf	狼人
wound	伤口
criminologist	犯罪学者
scenario	方案
myocardium	心肌
bricklayer	砖匠
centromere	着丝点
craniology	头骨学
earplug	耳塞
gurnard	鲂鱼
unintelligibility	不清晰性
inactivity	不活动
rear admiral	少将
hinge on	靠
out of the blue	误打误撞
hyperbola	双曲线
clemency	仁厚
route	路线
forge	锻造
hook and eye	钩与螺旋扣眼
dislodge	逐出
temporal	时间的
fatigue	疲劳
anticipate	预料
sublime	崇高
arugula	芝麻菜
crucial	决定性的
chronic	慢性
vitreous	玻璃质的
metropolitan	大主教
raffia	酒榔
insinuation	暗讽
guitar	吉他
table of contents	目录
usefulness	用处
twenty-fourth	第二十四
Asia	亚洲
honest	正直
aspect	方面
alum	明矾
peanut	花生
Antigua and Barbuda	安提瓜和巴布达
aspartame	天冬甜素
alarmingly	令人挂虑地
apheresis	字首音省略
merciless	残忍
embrocation	涂擦剂
enzymatic	酶的
infection	感染
sauceboat	船型酱油容器
turf	草皮
herbicide	除草剂
Manila hemp	马尼拉麻
harmonic mean	调和中项
stepping stone	垫脚石
coneflower	黄雏菊属植物
silicle	短角果
moonshine	月光
newton	牛顿
devotional	虔诚的
alumnus	男毕业生
fizz	嘶嘶响
fourteenth	第十四
metatarsal	中骨的
freshness	新鲜
reagent	试剂
Jack the Ripper	开膛手杰克
carotenoid	类胡萝卜素
imaginary part	虚部
ting	丁丁声
cochlea	耳蜗
maidenhair fern	掌叶铁线蕨
salsa	辣汁
Ganges	恒河
Bering Strait	白令海峡
all the same	仍然
diatomaceous earth	硅藻土
conception	怀孕
marasmus	消瘦
ferrous	铁的
knickerbockers	灯笼裤
cookstove	烹调用炉
Morse code	摩尔斯电码
juicy	多汁
meson	介子
gemsbok	大羚羊之一种
furry	毛皮的
marriage	婚姻
mouth-to-mouth resuscitation	口对口复苏
parsec	秒差距
self-pity	自怜
spark plug	火花塞
manhunt	搜捕
futon	坐垫
insult	侮辱
nekton	自游生物
Ido	伊多语
Alpine	阿尔派恩
tectonic	构造的
merlon	城齿
hornless	无角的
professorial	教授的
sooner	捷足先登的移民
undercurrent	暗流
negotiator	议定者
hygroscope	湿度计
Jezebel	耶洗别
epididymis	附睾
molybdenite	辉钼矿
whiskey	威士忌酒
adipic acid	己二酸
pince-nez	夹鼻眼镜
Oder	奥得河
carpet	地毯
macaroni	通心粉
slump	暴跌
regime	政权
clapper	铃舌
intermezzo	插曲
artificial	人造的
rueful	可怜的
welcome	欢迎
cerebrospinal	脑脊髓的
downplay	不予重视
spurt	喷
mayoress	市长夫人
roundel	圆形饰物
crystal lattice	晶格
pons	桥
nose ring	公牛鼻环
paca	无尾刺豚鼠
out of wedlock	私生地
check	检查
stem	茎
edema	浮肿
egret	白鹭
coincidental	符合的
armchair	扶手椅子
biographical	传记的
locative	位置格的
nightstick	看更人或警察的木棒
passkey	总钥匙
recto	右页
sandhi	连音
scour	摩
Tasmanian devil	袋獾
perestroika	经济改革
burden of proof	举证责任
think tank	智囊团
automatic transmission	自动变速器
compound eye	复眼
bushbaby	丛猴
Tbilisi	第比利斯
hatred	仇恨
attack	攻击
scuffle	扭打
dissociate	游离
question mark	问号
allomorph	同质异晶
puffin	海鹦
uremia	尿毒症
elbow room	自由意志
emitter	发射器
expectancy	期望
hemp	大麻
milker	乳牛
semitone	半音
filtration	过滤
West	西洋
soap bubble	肥皂泡
aalii	坡柳
convexly	中凸地
magician	魔术师
disgust	憎恶
mode	方式
rave	咆哮
erode	蚀
invade	侵略
blood sugar	血糖
indeed	乃
halitosis	口臭
risible	能笑的
delectable	快乐的
boredom	乏味
favorite	最喜爱
counselor	顾问
green-eyed	绿眼的
gratify	使满足
minuscule	小写字
reign of terror	恐怖统治
metadata	元数据
Earth	地球
collection	收藏
excel	胜过
remuneration	报酬
lightweight	轻
necromancer	巫师
iron	铁
mutually	互
favor	惠
outline	轮廓
lemongrass	柠檬草
expedition	远征
loquacity	㖂
doorjamb	大门柱
gustatory	味觉的
Lupus	豺狼座
safe sex	安全性行为
haystack	草垛
alfalfa	苜蓿
postmaster	邮局局长
Sevastopol	塞瓦斯托波尔
idiom	成语
cook	煮
prick	刺
embodiment	化身
hunt	打猎
inflection	屈曲
feminism	女权主义
periodic	周期
Tory	保守党员
aforethought	事先考虑的
laryngopharynx	咽喉
mummify	弄枯干
Gaborone	哈博罗内
value judgment	价值观
bivouac	露营
neon lamp	氖管
parking space	停车位
tiger salamander	虎斑蝾螈
mediocre	平庸
spool	卷筒
Christmas tree	圣诞树
repel	排斥
casual	随便
adoption	收养
claimant	索赔人
Hittite	赫梯
copacetic	极好的
Jonah	约拿
reverent	恭
absent	缺席
pedagogic	教育学的
mitotic	有丝分裂的
pinball	钉球戏
xenolith	捕虏体
amnesia	健忘症
postmark	邮戳
straw man	名义上的所有者
Himalayas	喜马拉雅山
vernacular	本地的
bottleneck	瓶颈
interior	内部
Church of England	英国国教会
likely	可能
initiator	创始人
epidemiology	流行病学
youthful	青春
beatification	受福
compatriot	同胞
cud	反刍物
facilitation	促进
prothrombin	凝血素
sarcoma	肉瘤
scratchpad	便笺式暂存
light up	炤
Yankee	美国佬
field mouse	田鼠
carpel	心皮
morning	早晨
drop by	上门
approach	接近
quartzite	石英岩
raven	乌鸦
resignation	辞职
dramatic	戏剧性的
soda	汽水
whiteness	白色
satiety	饱满
fava bean	蚕豆
promiscuously	杂乱地
shoemaking	制鞋
exceptionally	格外
anemone	海葵
eaglet	小鹰
sow thistle	荼
macrocyte	大红细胞
G clef	高音谱号
silver bullet	高招，良方
Georgia	格鲁吉亚
join	连
population	人口
barbarian	蛮
paragraph	段
sea	海
written	书面的
tandem	串联的
apodictic	绝然的
augite	普通辉石
hellebore	菟葵
psychical	灵魂的
soundproof	隔音的
Acapulco	阿卡普尔科
olive tree	㭇
IMO	国际海事组织
hydrofluoric acid	氢氟酸
prophylaxis	预防
cytologic	细胞学的
aspectual	体的
Gulf of Guinea	几内亚湾
coincide	巧合
foodstuff	食品
canonical	规范的
Pericles	伯里克利
sassy	厚脸皮的
buoy	浮标
rudder	舵
marchioness	侯爵夫人
shammy	麂皮革
head over heels	头朝下
Flanders	佛兰德
federal government	联邦政府
desktop computer	台式电脑
malt	麦芽
dressing room	更衣室
scurf	皽
riptide	洪涛
Croat	克罗地亚人
military academy	陆军军官学校
tern	鴎
childhood	童年
use	用
tangerine	橘子
answerable	有责任的
all-night	通宵的
kaput	过时的
intercalary	闰
cardiopulmonary	心肺的
chancellorship	长官之职
suffrage	选举权
ignition	点火
roomful	满房间
chromatic	彩色的
vulnerability	脆弱性
whooper swan	大天鹅
apocalypse	启示
teaspoon	茶匙
Luanda	罗安达
Buffalo	水牛城
pedicab	三轮车
doll	玩偶
Astarte	阿斯德尔特神
burner	燃烧器
exclude	排斥
edible	䔆
chromite	铬铁矿
mum	妈妈
desalinate	除去盐分
efficiently	有效率地
socialize	交往
Tamil Nadu	泰米尔纳德邦
closeup	特写镜头
effectivity	有效性
coruscation	焕发
angle of reflection	反射角
game of chance	机会对策
gently	徐
octopus	章鱼
syringe	注射器
eminence	崇高
counterclaim	反诉
lowercase	小写字母
ovum	卵
zoospore	游走孢子
Boeotian	愚笨的
antedate	居先
calfskin	小牛的皮
finale	结尾
Gnostic	诺斯替教的
patellar	膝盖骨的
virgule	置于二字之间表示任取一字均可得短斜线
air pocket	气陷
real number	实数
modernize	现代化
empirical formula	实验式
hang	挂
hypothesis	假说
echo	回声
damselfly	灯心蜻蜓
idealism	唯心主义
eagle	鹰
pluviometer	雨量计
screw pine	露兜树属植物
alcoholize	醇化
brutally	兽性地
retractile	伸缩自如的
countermand	下反对命令召回
enduringly	耐久地
hater	仇恨者
proscription	剥夺人权
tribune	讲坛
square foot	平方英尺
theologian	神学家
grand duke	大公
Canadian	加拿大的
intonation	语调
crushed	粉碎
lading	船货
ambitious	雄心勃勃的
Epiphany	主显节
gesso	石膏
burrow	洞穴
soundtrack	原声带
latest	最近的
dielectric	绝缘体
languish	憔悴
folliculitis	毛囊炎
gradualness	渐次的
greenish	呈绿色的
white bread	白面包
propensity	倾向
oxcart	牛车
hole	洞
once more	再一次
putt	轻轻一击
fly agaric	毒蝇伞
footprint	脚印
resection	切除术
whirl	㳡
sliver	裂片
cathedral	大教堂
illogical	不合逻辑的
freshly	新近
dermatologist	皮肤学者
stilted	踩高跷的
menacingly	胁迫地
vicarage	教区牧师住处
zymology	发酵学
ambiance	环境
thighbone	股骨
chain reaction	连锁反应
yttrium	钇
hereafter	此后
transfusion	输血
pellet	丸
plenitude	充分
alienate	让与
retreat	退
omission	省略
admiralty	海军部
Assamese	阿萨密语
entomology	昆虫学
fructose	果糖
refractive index	折射率
flint	燧石
aldol	醇醛
strongly	坚强地
boarhound	用以猎野猪的大猎狗
ciliated	有睫毛的
reggae	雷鬼乐
atomic number	原子序数
Macedonia	马其顿
ground floor	一楼
holism	整体主义
clumsy	笨
vicissitude	盛衰
hypnotise	施催眠术
expedience	方便
engagement	婚约
second hand	秒针
stoneware	石器
biosafety	生物安全性
concurrently	兼
prepaid	先付的
rimmed	带底缘的
postgraduate	研究生
peanut butter	花生酱
road map	路线图
pepsin	胃蛋白酶
badness	不良
Guyana	圭亚那
Marseilles	马赛
Suriname	苏里南
Tigris	底格里斯河
proficiency	熟练
romance	恋爱
infinite	无限
slur	印刷模糊
rivet	铆钉
access	存取
sledgehammer	大锤
possessed	着魔的
clericalism	教权主义
satisfy	满足
demonstrative	说明的
greenstick fracture	青枝骨折
woodcutter	樵
dialysis	透析
break wind	放屁
Thracian	色雷斯语
Republic of Cuba	古巴共和国
Taiyuan	太原
urgent	急
healthy	健
primate	猴子
cupboard	碗柜
weight	重量
deeply	深深
alkali metal	碱金属
chaste	贞
confirmed	证实的
fairground	露天市场
linesman	常备步兵
subpoena	传票
swage	铁模
Horus	荷鲁斯
nadir	天底
blah	瞎说
groundbreaking	动工
Arabian Sea	阿拉伯海
archipelago	群岛
cane	杖
thalweg	最深谷底线
cosmos	宇宙
acetoacetic acid	乙酰乙酸
pancytopenia	全血细胞减少
International Monetary Fund	国际货币基金组织
tentacle	触手
Argentinian	阿根廷的
capitalise	使资本化
weatherproof	不受天气影响的
splashdown	在海中降落
spoke	辐条
wheelhouse	舵手室
kick in	踢掉砸开
transgression	愆
collarbone	锁骨
tuatara	楔齿蜥
around	周围
for example	例如
megalopolis	特大城市
porgy	鲷
Komi	科米文
cress	水芹
Pallas	智神星
adulterous	通奸的
arbitrator	仲裁人
circadian	生理节奏的
confessional	告解室
regrettable	可叹的
encomium	赞美
transvestite	易装癖
tyrannicide	诛弑暴君
vaginismus	阴道痉挛
massicot	铅黄
cream of tartar	酒石
egest	排泄
bum around	游荡
handful	把
poker face	一本正经
clear	清
omasum	重瓣胃
extension	延伸
go ahead	㪀
confidence	信心
suitcase	手提箱
traduce	诽谤
eatable	可以吃的
emporium	商场
linseed oil	亚麻油
eraser	橡皮
emergency	紧急情况
discursive	散漫的
etymologist	语源学家
motorization	摩托化
New Stone Age	新石器时代
fiefdom	采邑
double Dutch	莫名其妙的话
graze	放牧
puff up	肿胀
toucan	巨嘴鸟
outstanding	优秀
blind	瞎
bole	树干
jut	尖端
chronometer	时计
gargle	漱
lunar month	太阴月
rummage	翻寻
priestess	女祭司
ambitiously	雄心勃勃地
urine	尿
balance sheet	资产负债表
Auriga	御夫座
stertor	鼾声
Pacific Ocean	太平洋
bassoonist	巴颂吹奏者
prior	在先的
fauna	动物区系
abjection	卑鄙
missionary	传教士
drapery	帐帘
sewerage	下水道
collage	拼贴画
compliant	顺从的
cumin	枯茗
youngster	髫
black box	黑箱
decennium	十年间
geode	晶洞
Innsbruck	因斯布鲁克
John	约翰
fatty acid	脂肪酸
appendicitis	阑尾炎
prayer beads	念珠
dirt	垢
weighty	重
calligraphic	书法的
diacritical mark	读音符号
e-mail	电邮
tubular	楕
whirlpool	漩涡
Mach	马赫
bookstall	书报摊
uracil	尿嘧啶
armpit	腋窝
bottle green	瓶绿
sour cherry	樱桃
tennis player	网球运动员
revenue stamp	印花税票
tragus	耳屏
Black Death	黑死病
lakeshore	湖岸
quarter-century	四分之一世纪
bugle	号角
admission	许可
site	址
individual	个人
expand	拓
lazy	懒
reservation	保留
anaphora	首语重复法
asymmetrical	不对称
cutaneous	皮肤的
veteran	老兵
pluralistic	兼职的
soapbox	肥皂盒
understandably	可理解地
Goofy	高飞
kung fu	功夫
joie de vivre	生活乐趣
wattmeter	瓦特计
sheepdog	牧犬
covered bridge	廊桥
Port Louis	路易港
Jordanian	约旦的
madam	夫人
nightcrawler	蚯蚓
parallax	视差
concupiscent	好色的
chess	棋
aqualung	水中呼吸器
coypu	海狸鼠
Liguria	利古利亚
briar	野蔷薇之一种
carbon paper	复写纸
unspeakable	说不得
vesicle	小水泡
deodorize	防臭
ligate	结扎
sidestroke	侧泳
morello	黑樱桃
Mendelian	孟德尔的
moraceous	桑科的
Mediterranean	地中海
cover	盖
saxophone	萨克斯管
lug	耳状物
overuse	使用过度
enclosed	被附上的
Campeche	坎佩切湾
disgusting	憎恶
carnal	肉欲的
cupful	满杯
fabulist	寓言家
geophysical	地球物理学的
snoot	势利者
marmalade	橘子果酱
crocodile tears	猫哭耗子假慈悲
uninterruptedly	不间断地
Australian dollar	澳元
impoverishment	贫穷
disprove	反驳
crotchet	四分音符
feature	特征
rein in	勒
take out	取出
helpless	无助
Irish	爱尔兰语
lemon balm	香蜂花
fustian	夸饰的
gosling	小鹅
kneeler	跪者
aquiferous	含水的
numismatics	货币学
occipital	后头部的
oil paint	油漆
leap year	闰年
flight path	航迹
hydrometer	液体比重计
South Pole	南极
rolling paper	卷烟纸
bowling alley	保龄球场
Yangtze	长江
engineering	工程
aldehyde	醛
opinion	意见
preparation	准备
colloquialism	白话
abnormality	反常
pistol grip	手枪式握把
toxic	有毒的
complicate	弄复杂
cuckoopint	斑叶阿若母
resourcefulness	智谋
shaver	剃须刀
old guard	保守者
sphere of influence	势力范围
bandleader	乐队指挥
Clio	克利俄
decibel	分贝
seismologist	地震学家
Central American	中美洲的
Brunei	文莱
stigmatization	轻蔑
ruler	尺子
protocol	协议
threshold	门槛
feminine	阴性
foreign policy	外交政策
artificial insemination	人工授精
Hellenistic	希腊风格的
by-product	副产品
negligently	嫚
fenestration	开窗法
East	东洋
purveyor	承办商
acidify	酸化
suffragette	妇女参政权论者
Freudian slip	口误
granddaughter	孙女
paleontology	古生物学
fiat	命令
stick	棍
daydreamer	空想家
numerous	多
development	发展
mix	混合
recommend	荐
glycine	甘氨酸
roadstead	碇泊
Pennsylvania	宾夕法尼亚
antiphlogistic	消炎的
suspension	悬浊液
accordion	手风琴
faithfully	忠诚地
grimace	扮鬼脸
hurtful	伤害的
French window	落地窗
pintail	针尾鸭
snow pea	豌豆
job description	作业说明
lateral thinking	水平思维
brief	短
layer	层
confined	隘
hearsay	传闻
mammy	妈咪
okra	秋葵
spoonfeed	填鸭式灌输
urbanity	都市风格
nuclear reactor	核反应堆
clamber	攀登
weather forecaster	气象报告员
taxman	收税员
kilo	公斤
machine shop	车间
plagiarize	剽窃
life assurance	人寿保险
fructosuria	果糖尿
schoolbook	教科书
Waterford	沃特福德
grind	磨
animation	动画
casement	窗扉
convent	女修道院
snare	陷阱
volunteer	志愿者
Saint Kitts and Nevis	圣基茨和尼维斯
thymol	百里酚
empyreal	最高天的
azotemia	氮血
terrorist	恐怖份子
yellowlegs	黄足鹞
square metre	平方米
spherical geometry	球面几何学
whooping cough	百日咳
anisette	茴香酒
cryolite	冰晶石
team sport	团队运动
North American	北美的
charge	控告
oodles	许多
divagate	流浪
soporific	催眠的
plurality	复数
response time	响应时间
Antarctica	南极洲
Peruvian	秘鲁的
bourdon	低音部音塞
foal	驹
phallus	阴茎
punkah	蒲葵扇
normalcy	常态
central heating	暖气
ninja	忍者
chocolate milk	巧克力奶
hawk moth	天蛾
see red	发怒
protriptyline	普罗替林
Malawian	马拉维的
Nuremberg	纽伦堡
Bahrain	巴林
clover	苜蓿
practice	习
fell	砍
anon	立刻
presenter	赠送的
shoddy	劣等
amend	修改
marble	大理岩
nudge	微移
disappointed	失望
meadow	草地
keratin	角蛋白
rep	棱纹平布
metrological	度量衡学的
spiritualize	使成精神上
peninsula	半岛
duct tape	银色宽胶布
Cairo	开罗
sound	声音
breaststroke	蛙式
exposition	博览会
hemoglobin	血红蛋白
money order	汇票
laminator	折叠型压片机
sleeping partner	隐名合伙人
televise	广播
Antarctic	南极的
Manitoba	缅尼托巴
baa	羊叫声
hymeneal	婚姻的
manumit	解放
Nyx	纽克斯
Hegira	伊斯兰教纪元
school year	学年
time zone	时区
art history	美术史
Gloucester	格洛斯特
warmth	暖和
varnish	漆
craftsman	匠
hardness	硬
hope	希望
title	标题
handgun	手枪
swill	涮
navy blue	深蓝色
constable	警官
taxpayer	纳税人
magnesium	镁
atheroma	粉瘤
knitted	编织的
moo	哞
jack up	得以提高
discipleship	弟子的身份
ramification	分枝
gameboard	棋盘
petrification	化石
cardinal number	基数
heavy metal	重金属
submarine	潜艇
euphonium	低音乐器
bullfinch	红腹灰雀
weed out	芟
hotelier	旅馆经营者
noblewoman	贵妇人
pork	猪肉
tenosynovitis	腱鞘炎
corps	军团
synthetic fiber	人造纤维
extortion	敲诈
language barrier	语言障碍
tableware	餐具
gauze bandage	纱布绷带
Tertiary	第三纪
hard-on	勃起
Cameroon	喀麦隆
company	公司
smooth	光滑
speech	话
transfuse	注入
dense	稠
megalith	巨石
stutter	口吃
astonish	震惊
sugar maple	糖枫
cyberspace	赛博空间
ameloblast	成釉细胞
antepenultimate	倒数第三
considerable	㝓
springtime	春天
offbeat	不平常的
severance	隔离
Rebecca	雷别卡导航系统
deft	灵巧的
dwarf	侏儒
nervous	忑
rebuild	重建
afterwards	然后
raffle	抽彩
baking powder	发酵粉
spare	免
equitable	公平的
darling	心肝
duckbill	鸭嘴兽
teacup	茶杯
e-commerce	电子商务
vocative	呼格
yardage	码数
kroon	爱沙尼亚克朗
switch off	关
palliation	辩解
Torah	摩西五经
mezzanine	中层楼
Burundi	布隆迪
top	顶
big brother	哥哥
form	形
ecological	生态学的
mutualism	互助论
pheasant	野鸡
doleful	悲
tonsillitis	扁桃体炎
strawberry	草莓
Anglo-Indian	英印的
intelligently	聪明地
herpetologist	爬虫学家
mesenteric	肠系膜的
vulcanize	硫化
coquette	狐狸精
filmmaker	制片人
headgear	冠
infarct	梗塞
box spring	弹簧褥子
see	看
Eden	天堂
deliberate	酌
bachelor	学士
rubber	橡胶
indicative	指示的
univocal	意义明确的
fruitful	䒹
buccaneer	海盗
recursive	递归的
igloo	冰屋
neoplastic	新生物的
Parmenides	巴曼尼得斯篇
Charles	夏尔
statistics	统计学
curlew	一种鸟
Knesset	以色列国会
vaccinate	预防接种
mutilate	残毁
stockpot	汤锅
Worcester	伍斯特
Dar es Salaam	达累斯萨拉姆
mediate	调解
rust	锈
residence	宅
tangential	切线的
combine	并
regional	区域性的
moist	潮湿
deaf	聋
broad	宽
azimuthal	方位角的
catalase	过氧化氢酶
flute	长笛
fanatically	狂热地
swordsmanship	剑术
shopping cart	购物车
pyroxene	辉石
circuitry	电路
tea party	茶话会
Guam	关岛
screen	幔
vigour	活力
Brooklyn	纽约市西南部的一区
foot-and-mouth disease	口蹄疫
miller	磨坊主
disorientation	定向障碍
Bolshevik	布尔什维克
gallic acid	没食子酸
World Trade Organization	世界贸易组织
impressed	外加的
hydrosphere	水圈
judiciously	明智地
militate	产生作用或影响
pre-Christian	基督以前的
pay back	报答
antidote	解毒剂
grandaunt	姑婆
play possum	装病
technique	技术
cut	剪
progress	进步
traveller	旅行者
hod	梩
confinement	禁闭
sphygmomanometer	血压计
gavel	槌
unluckily	偏偏
demigod	半神半人
creditworthy	资信可靠度
wiener	维也纳香肠
sideward	旁边的
psychokinesis	意志力
zoo	动物园
Puck	天卫十五
dishonesty	不诚实
counterespionage	反间谍
thank	感谢
green alder	赤杨
slab	石板
sacred	圣
crank	转动曲柄
sesame	芝麻
instinct	本能
replace	取代
correlation	相关
agave	龙舌兰
United Nations	联合国
Iberian	伊比利亚的
Jewess	犹太人
carol	颂歌
metric space	度量空间
magic square	幻方
handsomeness	俊俏
magnesium oxide	氧化镁
slide rule	计算尺
milling machine	铣床
table wine	进餐时喝的淡酒
bellybutton	肚脐
author	作者
obtain	得
granddaddy	祖父
emesis	呕吐
tot	合计
biweekly	双周刊
wary	机警的
culminate	到绝顶
electrodynamometer	电测力计
feathered	䳂
skyscraper	摩天大楼
vegetarian	素食者
pram	婴儿车
wrongly	不正当地
blossom	开花
canola oil	芥花籽油
auntie	阿姨
brooch	别针
sukiyaki	寿喜烧
swear	发誓
riddle	谜语
jimmy	铁撬
socle	台石
oppression	压迫
phrase	片语
application	应用程序
sweeping	扫除
setup	安裝
Northumberland	诺森伯兰
monoecious	雄雌同株的
unthinkable	想象不到的
kerchief	帨
lasagna	千层面
oldish	稍老的
urea	尿素
flagellum	鞭毛
iguana	鬣蜥
random number generator	随机数发生器
vitalism	生机说
tiddler	童
exactly	恰
unbiased	不偏不倚
taste	尝
capable	能干
disperse	散
concede	让
alterable	可变的
baggage	行李
heartbreak	难忍的悲伤或失望
glioblastoma	成胶质细胞瘤
vaporizer	蒸发器
Outer Hebrides	埃利安锡尔
canalise	开运河
begrime	弄脏
Congress	国会
spherical angle	球面角
unpaired	不成双的
Guinea-Bissau	几内亚比绍
dish	菜
Sabbath	安息日
nebula	星云
alkaline	碱
sadism	虐待狂
killer	杀手
acetyl	乙酰基
authoritatively	命令式地
gooey	感伤的
avowedly	公然地
wearer	佩带者
hotness	热烈
ciliary body	睫状体
creditor	债权人
recidivist	惯犯
whale shark	鲸鲨
Inland Sea	内海内陆海
Kurosawa	黑泽
larch	落叶松
incubator	孵化器
