covenant	ஒப்பந்தம்
Swaziland	ஸ்வாஸிலாந்து
dish out	தட்டில் பரிமாறு
cranium	கபாலம்
Namibia	நமீபியா
inclination	விருப்பம்
compatibility	ஒத்தியல்பு
order	கட்டளை
smallness	சுருக்கம்
flyer	துண்டறிக்கை
sequence	வரிசை முறை
battle	சண்டை
grave	கல்லறை
welfare	நல்வாழ்வு
alarm clock	அலாரம்
dissolution	ரத்து
drizzle	தூறல்
inexplicable	காரணங்கூறி விபரிக்க முடியாத
impossibility	இயலாமை
mineral water	கனிம நீர்
truant	மட்டம் போடுபவர்
worthy	தகுதியாக இரு
get over	ஏறிக் குதித்துப் போ
globe-trot	உலகம் சுற்று
apocope	கடைக்குறை
Gaza Strip	காசா
discontinuity	விச்சின்னம்
Low German	லோ ஜெர்மன்
Red Cross	செஞ்சிலுவை
barge	படகு
skiff	சம்பான்
brevity	சுருக்கம்
choice	விருப்பத் தேர்வு
evermore	எப்பொழுதும்
wideness	பரப்பு
kick	உதை
accessible	அடையக்கூடிய
rug	தரை விரிப்புக் கம்பளம்
computer game	கணிப்பொறி விளையாட்டு
flexible	வளைந்து கொடு
fluid	பாய்மம்
lamb	செம்மறியாட்டுக்குட்டி
masculine	ஆண்பால்
masonry	கல் கட்டடம்
pesticide	உயிர்கொல்லி
disrobe	கழற்று
Ares	ஏரிஸ்
tenancy	குடித்தனம்
boyhood	சிறுதரம்
Mozambique	மொசாம்பிக்
noose	தூக்குக் கயிறு
laptop computer	மடிக் கணினி
notch	கொக்கிப் போடு
send	அனுப்பு
luck	அதிர்ஷ்டம்
advisable	ஆலோசிக்கத் தகுந்த
compere	நிகழ்ச்சித் தொகுப்பாளர்
inn	விடுதி
unusual	அசாதாரண
babyhood	குழந்தைப் பருவம்
buoyancy	மிதப்புத்தன்மை
creativity	படைப்பாற்றல்
encumbrance	கலன்
headword	கலைக்களஞ்சியம்
Espoo	யெஸ்ப்பூ
ingratiate	நுழைந்துகொள்
lightning conductor	இடிதாங்கி
butterfly	வண்ணத்துப்பூச்சி
reach	அடை
commencement	தொடக்கம்
matrix	கரு
knuckle	குட்டு
late	கடந்த
alliance	விவாச சம்பந்தம்
bile	பித்தநீர்
venereal disease	சரக்கு
etiquette	பண்பாடு
pointless	பயன்ற்ற
salver	தட்டம்
glorify	துதி
usable	உபயோகிக்கக்கூடிய
videocassette	வீடியோ கேசட்
Strait of Gibraltar	ஜிப்ரால்ட்டர் நீரிணை
catch out	மாட்டிக்கொள்
nudity	அமணம்
liege	எசமானன்
loafer	சூலக்காளை
encouraging	தாரிப்பு
shoal	குலம்
evoke	தூண்டு
whipping	சுருக்கு
naughty	சுட்டி
stress	வற்புறுத்து
assail	தாக்கு
frail	தளர்ந்து போ
seethe	புகை
geology	நிலவியல்
weft	பின்னல்
reinforcement	மேலும் வலுப்படுத்தல்
secondhand	ஏற்கெனவே பயன்படுத்தப்பட்ட
waiting room	காத்திருப்போர் அறை
cower	ஒடுங்கு
embroil	இழுத்துவிடு
fatuous	மடத்தனமாக இரு
pillory	அரைத்தூக்கி
armadillo	நல்லங்கு
Karelian	கரேலியன்
old	பழைய
volume	கனவளவு
caustic	காரம்
life	உயிர்
bay	இரை
baptism	ஞான ஸ்நானம்
Goa	கோவா
democratic	ஜனநாயகம்
dreary	இருண்ட
fur	விலங்கின் மென்மயிர்
mandible	கீழ்த் தாடை
nominee	நியமனம் பெற்றவர்
throttle	குரல்வளையை நெரி
unlimited	கால வரையறையற்ற
International System of Units	அனைத்துலக முறை அலகுகள்
top hat	பெரிய தொப்பி
friendship	நட்பு
radium	கருகன்
reproduce	உருவாக்கு
conversation	உரையாடல்
sustain	தாங்கு
distraction	திகைப்பு
apex	உச்சி
blasphemy	நாத்திகம்
fallacious	தீய
belch	உமிழ்
circular	சுற்று அறிக்கை
wreath	மலர் வளையம்
self-restraint	அடக்கம்
sunlight	சூரியப் பிரகாசம்
porn	பாலின்பம்
pantry	மளிகறை
exasperate	கோபமூட்டு
tact	பக்குவம்
Strait of Hormuz	ஹோர்முஸ் நீரிணை
grassy	புல் மயமாக இரு
mildew	பூசாணம் பிடி
plinth	செப்பட்டை
Urdu	உருது
book	நூல்
trim	நறுக்கு
amplitude	வளம்
assimilation	தன்மயமாதல்
radish	முள்ளங்கி
impunity	நஷ்டம்
empathy	பச்சாதாபம்
high court	உயர் நீதிமன்றம்
turnover	வருமானம்
limited	வரையறுக்கப்பட்ட
thong	வார்
fragrant	வாசனை வீசு
schoolbag	மாணவர் புத்தப் பை
rut	ஆச்சல்
sidle	நழுவிப் வா
Jerusalem	எருசலேம்
Nanjing	நாஞ்சிங்
lumber	மரம்
Armenia	ஆர்மீனியா
gather	கூட்டு
witness	சாட்சி
consanguinity	கூட்டு
aim	குறி
nevertheless	ஆயினும்
friend	நண்பன்
assume	ஏற்றுக்கொள்
congee	கஞ்சி
gruel	கஞ்சி
pear	பேரிக்காய்
rugged	முரட்டுத்தனமான
resettle	குடியேறு
stocking	பாதவுரை
subway	தரைக்கீழ் தொடர் உந்து
windowpane	ஜன்னல் கண்ணாடி
soothsayer	குறிகாரன்
drawbridge	தூக்குப்பாலம்
Rajab	ரஜப்
Vistula	வீஸ்லா
accept	ஏற்றுக்கொள்
vacate	நீக்கு
burst	உடை
Tonga	டோங்கா
run off	இயங்கு
become	ஆகு
pant	மூச்சு வாங்கு
brush off	ஒதுக்கித் தள்ளு
offend	வெறுப்பூட்டு
plug	அடைப்பான்
comedian	நகைச்சுவை நடிகர்
pour	பொழி
father-in-law	மாமனார்
verdure	பச்சை
mistreat	கொடுமைப்படுத்து
perambulate	சுற்றித்திரி
partial	ஒரு பங்கு
resilience	அதைப்பு
Gambia	காம்பியா
Judaism	யூதம்
half-moon	அர்த்தசந்திரன்
innumerable	அளவுகடந்த
epidermis	பீத்தோல்
end	முடி
parent	பெற்றோர்
potassium	வெடியம்
Pashto	பஷ்தோ
histogram	பட்டை வரைபடம்
hand out	வழங்கு
parse	அலகிடு
Fiji	ஃபிஜி
contend	வலியுறுத்து
spit	துப்பு
whereabouts	இருப்பிடம்
little	சிறிய
cream	பாலாடை
toadstool	காளான்
tailoring	தையல் வேலை
moisten	நனை
strategic	தளத்தகை
Jordan	ஜோர்டான்
north wind	வடகாற்று
dong	ஆண் குறி
lunge	பாய்
debug	பிழைநீக்கு
commence	தொடங்கு
LCD	நீபகா
local area network	குறும் பரப்புப் பிணையம்
imply	குறி
damage	குலைத்துவிடு
childbirth	பிரசவம்
clepsydra	மணிக்கூடு
mainland	நிலம்
economy	பொருளாதாரம்
silver plate	வெள்ளிப் பாத்திரங்கள்
privet	அழிஞ்சில்வகை
treason	இராசத்துரோகம்
bison	காட்டா
Samoa	சமோவா
Thames	தேம்ஸ்
global warming	புவி வெப்பநிலை அதிகரிப்பு
Charleroi	பெல்ஜியம்
harmonize	இணை
fleece	வெட்டு
modify	திருத்து
beat	அடி
experiment	சோதனை செய்
oppose	மறி
bombing	குண்டுத் தாக்குதல்
depart	போ
carry on	செய்
conspirator	சதி செய்பவன்
flake	பனித்துகள்
meal	மதிய உணவு
transit	இடை வழி
whisper	சத்தம் போடு
earthworm	மண்புழு
bearded vulture	எலும்புண்ணிப் பாறு
barque	படகு
Punjab	பஞ்சாப்
Ganesha	விநாயகர்
essay	கட்டுரை
erect	கட்டு
affliction	விபத்து
referee	நடுவர்
transform	மாற்று
bridle	கடிவாளம் இடு
sitting	கூட்டம்
inflammation	தடிப்பு
definiteness	உறுதி
draftee	கட்டாய இராணுவ சேவையில் சேர்க்கப்பட்டவர்
confident	நம்பிக்கையாக இரு
meteor	விண்கற்கள்
sunglasses	சன்கிளாசஸ்
trauma	பேரதிர்ச்சி
come forward	ஏற்படு
chirp	கீச்சிடு-தல்
placenta	பனிக்குடம்
Socrates	சாக்கிரட்டீஸ்
joystick	ஜாய் ஸ்டிக்
sling	போடு
acromion	தோள் அளவு உயரம்
aesthetic	அழகியல்
amplify	பெருக்கு
awe	அச்சம்
absorbance	ஈர்க்கதக்க
moan	அழு
breeze	தென்றலாக நுழை
checklist	சரி பார்க்கும் பட்டியல்
witty	அறிவு
loving	அன்புள்ள
parable	நீதிக்கதை
freezing	கடும் குளிர்
recess	இடைவேளை
itinerary	பயண விவர ஏடு
quagmire	சகதி
technician	தொழில்நுட்ப வல்லுநர்
San Marino	சான் மரினோ
depict	வர்ணி
omniscience	எல்லாமறிகை
shoulder blade	கைப்பட்டை
toluene	தொலுயீன்
cogitate	சிந்தி
recapitulate	சுருக்கு
reinvigorate	புதுப்பி
shred	சீவு
exact	சரியாக இரு
determination	பிடிவாதம்
ritual	சடங்கு
exterminate	அழித்துவிடு
anxious	கவலைப்படு
distort	முறி
uprightness	நடு
stork	கொக்கு
documentary	ஆவணப்படம்
well-being	நல்வாழ்வு
fully	நன்றாக
kitchen garden	காய்கறி தோட்டம்
quay	கப்பல் துறை
structural	கட்டட அமைப்புப் பற்றிய
today	இன்று
abduct	அழைத்துக்கொண்டு போ
evil eye	கண்னூறு
pulp	மசியல்
electroscope	மின்காட்டி
finger	விரல்
London	இலண்டன்
standard deviation	தரமான விலக்கம்
footstep	காலடி
whittle	செதுக்கு
bray	கத்து
trolley	தள்ளு வண்டி
ravine	பள்ளத்தாக்கு
fee	கட்டணம்
grenade	கையால் எறியப்படும் வெடிகுண்டு
human	மனிதர் சார்ந்த
illiterate	கற்றுக்குட்டியாக இரு
tidy up	ஒழுங்குபடுத்து
passport	பாஸ்போர்ட்
raincoat	மழைச்சட்டை
South Africa	தென் ஆப்பிரிக்கா
formless	தாறுமாறாக இரு
immoral	ஒழுக்கம் தவறு
death warrant	கடையேடு
redwood	செக்கோயா
sputnik	ஸ்புட்னிக்
billiards	பில்லியர்ட்ஸ்
United Kingdom	ஐக்கிய இராச்சியம்
curtain	திரைச்சீலை
strategy	செயல்திட்டம்
insurrection	கடும் எதிர்ப்பு
threaten	பயமுறுத்து
demand	கேள்
astronaut	விண்ணோடி
conquest	ஆணை
serum	இரத்தம்
soar	ஏறு
killing	கொலை
quake	நிலநடுக்கம்
emigrate	குடியேறு
sniff out	கண்டு பிடி
hygienic	உடல்நலம் தொடர்பான
intercession	மற்றவருக்காகப் பரிந்து பேசுதல்
particular	குறிப்பாக
universal	பிரபஞ்ச சம்பந்தமான
goof	மடத்தனம் செய்
visualise	சாட்சாத்கரி-த்தல்
self-knowledge	சுவேதனை
dodecahedron	பன்னிரண்டுமுக ஐங்கோணகம்
performing arts	முக முடி
Tajik	தாஜிக்
Zimbabwe	ஜிம்பாப்வே
weave	பின்னு
bed	படுக்கை
fall	விழு
guide	வழிகாட்டு
thing	பொருள்
karma	செய்வினை
excuse	மன்னித்துவிடு
extirpate	பிடுங்கியெறி
tincture	அம்பு
sexual intercourse	பாலுறவு
civil engineering	வர்த்தகத்துறைப் பொறியாளர்
clutter	குப்பையாக்கு
headland	கோடி
religious	பக்தியான
circumvent	சமாளி
fertilizer	உரம்
hippopotamus	நீர்யானை
equine	குதிரை
transmitter	அனுப்பும் கருவி
transplant	பதியன்
shin	பிடித்து ஏறு
spirit away	கடத்திக் கொண்டு போ
Friulian	ஃப்ரியூலியன்
pickle	ஊறுகாய்
faith	சமயம்
study	பார்
subvert	அழி
incubation	அடை
differently	வேறாக
outcry	புகார்
cultural	பண்பாட்டு
ninth	ஒன்பதாவது
negro	நீக்கிரோ
press conference	செய்தியாளர் கூட்டம்
patriotism	தேசப்பற்று
radar	இராடர் கருவி
cast iron	தண்டவாளம்
bleach	வெளு
ramrod	சலாகை
rugby	ரக்பி
scrawl	கிறுக்கு
consolidate	திரள்
codify	தொகு
scam	திருத்து
Java	சாவகம்
reap	அறுவடை செய்
blow	ஊது
wonder	அற்புதம்
agonize	வேதனைப்படுத்து
airport	விமான நிலையம்
puncture	துளை
meditation	தியானம்
blizzard	பனிப் புயல்
rout	பந்தாடு
vastness	பெருமை
Texas	டெக்சாஸ்
Silicon Valley	சிலிக்கான் பள்ளத்தாக்கு
Luxembourg	லக்ஸ்சம்பர்க்
fickle	மனம் மாறு
drunk	மயக்கத்திலிரு
slime	குழைசேறு
hedgehog	முள்ளெலி
eight	எட்டு
budget	அனுமதி
pig	பன்றி
slavery	அடிமைத்தனம்
socket	உறை
font	எழுத்துரு
random access memory	குறிப்பிலா அணுகல் பதிவு
Wolof	ஒலூஃப்
congratulate	பாராட்டு
rebate	கழிவு
abbey	மாடாலயம்
resonance	சிலம்பு
cavity	துவாரம்
swordsman	வாளி
causeless	காரணமில்லாத
stable	உறுதி
commando	மின்னல்படை
cascade	விழுதொடர்
equator	நிலநடுக்கோடு
egalitarianism	மெய்யியல்
pamper	இடம்கொடு
salt mine	உப்புச்சுரங்கம்
stepfather	ஒருவரின் தாயின் மற்றொரு கணவன்
gird	சங்கிலியால் கட்டு
disjoint	துண்டு துண்டாக வெட்டு
bulwark	அலங்கன்
displacement	இடமாற்றுகை
sensualist	காமுகன்
Middle Irish	மத்திய ஐரிஷ்
India	இந்தியா
Maltese	மால்டிஸ்
trail	பின்தொடர்
leer	பார்த்து இளி
constraint	கட்டுப்பாடு
due date	தவணை நாள்
interface	இடைமுகம்
archer	வில்லாளி
dress	உடை
barley	வாற்கோதுமை
championship	வெற்றி வீரத்தன்மை
goat	ஆடு
speed up	துரிதப்படுத்து
ululate	புலம்பு
here	இங்கே
magnificent	பிரம்மாண்டமான
inability	இயலாமை
lentil	துவரை
outbreak	திடீர்க்கிளர்ச்சி
cast away	தள்ளிப்போடு
radically	அடிப்படையான தீவிரவாத
self-portrait	சுய ஒவியம்
superfluously	தேவைக்கு அதிகமான
telegraphy	தந்தித்துறை
Central America	மத்திய அமெரிக்கா
edict	கட்டளை
endure	தாங்கு
even	திருத்து
arrive	சேர்
adulterer	சோரம் போனவன்
anchorage	நங்கூரம் பாச்சி நிற்குமிடம்
bustle	சந்தடி
treasurer	பொருளாதாரர்
common seal	சீல்
dovetail	பொருந்து
veneer	பளபளப்பாக்கு
reciprocate	பதிலுக்கு பதில் செய்
orpiment	அமலைதாரம்
divided	கேடா
days	நாட்கள்
fasten	இறுக்கு
appoint	நியமி
session	அமர்வு
fight	சண்டை
derive	பெறு
council	மன்றம்
pate	உச்சி
avatar	அவதாரம்
military	இராணுவம்
attain	நிறைவேற்று
eligibility	நுழைவுத் தகுதி
inaugurate	ஆரம்பி
borrow	கடன்வாங்கு
chronological	காலவரிசைப்படி
glide	ஊர்
wage	சம்பளம்
agreeably	ஏற்றவாறு
cape	கோடி
fist	கை முட்டி
intermission	இடைவேளை
October	அக்டோபர்
perineum	பெருங் குடல்
Genghis Khan	செங்கிஸ் கான்
domineer	அரட்டு
savagery	காட்டுக்குணம்
dough	பிசைந்த மாவு
cerebrum	பெரியமூளை
meteorite	விண்வீழ்கல்
sugar apple	சீதா
Cheyenne	செயேனி
writing	எழுத்து
guitar	நரம்புக்கலம்
remainder	மிச்சம்
case	வழக்கு
inactivity	செயலிழப்பு
survey	கருத்தை அறி
scout	தேடு
bring up	வளர்
insinuation	குறி
carry	தாங்கு
ordeal	சோதனை
turpitude	பாவம்
clemency	அளி
contagion	கெட்டுப்போதல்
hinge on	சார்ந்திரு
delve	தோண்டு
disappoint	ஏமாற்றிவிடு
round trip	சுற்றுப் பயணம்
nick	திருடு
forge	பாசாங்கு செய்
herbicide	களைக்கொல்லி
infection	தொற்றுநோய்
liar	பொய்யன்
pasture	புல்வெளி
tubercle	பரு
Wyoming	வயோமிங்
bricklayer	கொத்தன்
tee	கொசுவுசட்டை
alum	சீனம்
Asia	ஆசியா
Antigua and Barbuda	அண்டிகுவாவும் பார்புடாவும்
aspect	தோற்றம்
honest	நேர்மையான
route	வழி
table of contents	உட்பொருள்கள் அட்டவணை
anticipate	எதிர்பார்
wound	காயம்
freshness	புதுமையான
usefulness	பயன் உடைய
crucial	அவசியமான
fatigue	அசதி
strand	பிரி
dislodge	விரட்டு
devotional	பக்தியான
juicy	சாறான -பழம்-
raffia	பனை நாக்கயிறு
turf	புல்தரை
fizz	சத்தம் போடு
Ganges	கங்கை
marriage	திருமணம்
insult	அவமதிப்பு
artificial	செயற்கையான
conception	கருப்பம்
carpet	தரை விரிப்பு
peanut	நிலக்கடலை
moonshine	நிலவு
negotiator	பேச்சுவார்த்தை நடத்துபவர்
self-pity	சுயபச்சாதாபம்
Bering Strait	பெரிங் நீரிணை
Jack the Ripper	கிழிப்பர் ஜேக்
newton	நியூட்டன்
meson	இடையி
parsec	புடைநொடி
Ido	இடோ
attack	தாக்கு
check	காசோலை
slump	தொங்கு
welcome	வரவேற்பு
sooner	முன்பாக
hatred	வெறுப்பு
erode	அழி
armchair	கையுள்ள நாற்றகாலி
regime	ஆட்சி
stem	தண்டு
filtration	வடி
hemp	சணப்பு
halitosis	வாய் நாற்றம்
nose ring	மூக்குத்தி
downplay	குறைத்துக் காட்டு
spurt	பீரிடு
sandhi	புணர்ச்சி
Tbilisi	திபிலீசி
collection	வசூல்
iron	இரும்பு
Earth	பூமி
mode	வகை
scour	துடை
favorite	உளங்கவர்
inflection	கோணம்
metadata	மீத்தரவு
question mark	கேள்விக் குறி; அடர் நிறக் கேள்விக் குறி
hunt	வேட்டையாடு
scuffle	சச்சரவு இடு
invade	சேர்த்துக்கொள்
disgust	வெறுப்பூட்டு
favor	விரும்பு
gratify	தீர்த்துக்கொள்
rave	கத்து
boredom	சுவாரசியமின்மை
excel	மீறு
cook	சமைத்தல்
idiom	மரபு
expedition	வேகம்
feminism	பெண்ணியம்
magician	மந்திரக்காரன்
blood sugar	இரத்த சக்கரை
prick	ஆண்குறி
initiator	தொடக்கம்
outline	சுட்டிக்காட்டு
amnesia	மறதி நோய்
absent	வராதிரு
remuneration	ஊதியம்
embodiment	உடல்
casual	தற்செயலான
postmaster	தலை
interior	உட்பகுதி
likely	அநேகமாக இருக்கக்கூடிய
morning	காலை
claimant	வாதி
postmark	அஞ்சல் திகதி முத்திரை
parking space	வாகனங்கள்நிறுத்துமிடம்
Himalayas	இமயமலை
mummify	பதப்படுத்து
mutually	பரஸ்பரம்
necromancer	வித்தையாடி
light up	ஒளிமயப்படுத்து
Gaborone	காபரோனி
Christmas tree	கிறிஸ்துமஸ் மரம்
Hittite	ஹிட்டைட்
Jonah	யோனா
whiteness	வெள்ளி
join	சேர்
paragraph	பந்தி
adoption	தத்தெடுத்தல்
approach	அணுகுதல்
repel	தடு
barbarian	காட்டுமிராண்டி
drop by	வா
ignition	எரியத் தூண்டுதல்
resignation	பதவி துறத்தல்
satiety	நிறைவு
raven	காக்கை
buoy	மிதக்கச்செய்
youthful	சிறுபிராய
Georgia	ஜார்ஜியா
epidemiology	நோய்ப் பரவல் இயல்
sea	கடல்
burner	அடுப்பு
lowercase	சிற்றெழுத்தாகிய
exclude	வெளியேற்று
foodstuff	உணவு
childhood	குழந்தைப் பருவம்
coincide	கணக்கிடு
desktop computer	டெஸ்க்டாப் கணினி
doll	பொம்மை
efficiently	ஆற்றல்மிக்க
finale	நிகழ்ச்சியின் கடைசி அங்கம்
teaspoon	கரண்டி
population	மக்கள் தொகை
gently	மெதுவாக
written	எழுதப்பட்ட
desalinate	உவர்ப்பு நீக்கு
scurf	சுண்டு
rudder	அல்சா
mum	அம்மா
Tamil Nadu	தமிழ் நாடு
ovum	சூல் முட்டை
octopus	ஒக்டோபஸ்
eagle	கழுகு
hang	தொங்கு
use	பயன்படுத்து
eminence	தலைமை
hole	துவாரம்
crushed	உடை
Canadian	கணேடியர்
echo	எதிரொலி
syringe	மருந்தூசி
real number	உண்மை எண்
socialize	மனித தன்மையை உண்டாக்கு
tangerine	ஆரஞ்சு
countermand	மாற்றுக் கட்டளையால் தடு
greenish	பச்சையாகு
modernize	நவீனப்படுத்து
empirical formula	செயலறிவு வாய்ப்பாடு
footprint	கால் தடம்
Assamese	அஸ்ஸாமீஸ்
alienate	பறி
ambitious	குறித்த
propensity	மனப்போக்கு
intonation	ஒலி
omission	விலக்கு
cathedral	பிரதான தேவாலயம்
whirl	சுழற்று
burrow	குடை
entomology	பூச்சியியல்
freshly	புதிய
hereafter	இனிமேல்
illogical	காரணமற்ற
languish	வாடு
latest	சமீபத்ய
once more	மீண்டும் ஒரு தடைவை
theologian	வேத விற்பனர்
flint	தீக்கல்
square foot	சதுரடி
atomic number	அணு எண்
Macedonia	மாசிடோனியா
sliver	வீடு
yttrium	திகழியம்
engagement	ஒப்பந்தம்
retreat	தடு
plenitude	ஏராளம்
badness	விசமத்தனம்
cupboard	அலமாரி
healthy	நலமான
rivet	உறுதியாக ஊன்று
proficiency	சாமர்த்தியம்
break wind	வயிற்றுப் பொருமலாய் இரு
possessed	பேய்பிடி
ground floor	கீழ்க்கட்டு
Guyana	கயானா
holism	முழுதளாவியம்
nadir	இட்டது
weight	பாரம்
romance	காதலி
Republic of Cuba	கியூபா
access	அணுக்கம்
around	தேர்ந்தெடு
transgression	பிழை
go ahead	தொடங்கு
arbitrator	மத்தியஸ்தர்
woodcutter	சிற்பி
satisfy	நிறைவேற்று
cane	கழி
encomium	புகழ்
handful	பிடி
cosmos	அகிலம்
capitalise	கொட்டிலாக்கல்
eatable	சாப்பிடத் தகுந்த
urgent	உடனடியான
Komi	கோமி
Suriname	சுரினாம்
slur	மழுப்பு
Tigris	டைகிரிசு
collarbone	காறை எலும்பு
archipelago	தீவுக்குழுமம்
extension	நீட்டிப்பு
fauna	விலங்கு
clear	கொடு
confidence	நம்பகம்
kick in	போடு
appendicitis	குடல்வளரி வீக்கம்
blind	குருடு
balance sheet	ஐந்தொகை
emergency	நெருக்கடி
cumin	சீரகம்
emporium	பேரங்காடி
graze	மேய்
gargle	கொப்பளி
suitcase	கைப்பெட்டி
International Monetary Fund	அனைத்துலக நாணய நிதியம்
Arabian Sea	அரபிக்கடல்
jut	நீட்டிக்கொண்டிரு
Auriga	ஔரிகா
Pacific Ocean	பசிபிக் பெருங்கடல்
armpit	அக்குள்
diacritical mark	ஒலிப்புக் குறி
e-mail	ஈமெயில்
expand	விரி
individual	நபர்
admission	நுழைவு
outstanding	திறமையான
urine	சிறுநீர்
asymmetrical	இசைவு பொருத்தமற்ற
dirt	சறடு
youngster	சிறுவன்
madam	திருவாட்டி
weighty	கணமான
lazy	சோம்பலாக இரு
missionary	மதப் பிரசாரகர்
prior	முன்னதாக
rummage	நோண்டு
sewerage	கழிவு நீர் அமைப்பு
bugle	கொம்பு ஊதி அழை
puff up	இரை-த்தல்
priestess	குரத்தி
lunar month	சங்கற்பமாசம்
fatty acid	கொழுப்பு அமிலம்
prayer beads	வழிபடுவதற்குப் பயன்படும் பாசிமணிகள்
veteran	சேவகன்
cover	மூடு
site	தளம்
chess	சதுரங்கம்
carnal	பாலின்ப
disprove	மறு
whirlpool	நீர்ச்சுழி
feature	முக்கிய பாகத்தில் தோன்று
helpless	உதவியற்ற
leap year	லீப் வருஷ்ம்
lug	நகர்த்து
vesicle	பள்ளம்
reservation	முன்பதிவுசெய்
deodorize	நாற்றம் போக்கு
tragus	குருடு
parallax	இடமாறுதோற்றம்
Irish	ஐரிஷ்
preparation	முன்னேற்பாடு
numerous	அநேக
mix	கலக்கு
opinion	எண்ணம்
uninterruptedly	எப்பொழுதும்
South Pole	தென் துருவம்
abnormality	இயற்கைக்கு மாறான நிலை
engineering	பொறியியல்
feminine	பெண்பால்
granddaughter	பேத்தி
hurtful	வேதனைமிக்க
overuse	அளவுக்கு மீறிய பயன்பாடு
take out	எடு
saxophone	சாக்ஸபோன்
toxic	நஞ்சு சார்ந்த
complicate	சிக்கலாக்கு
Brunei	புரூணை
acidify	அமிலமாக்கு
oil paint	எண்ணெய்ச்சாயம்
colloquialism	சேரிமொழி
Australian dollar	ஆஸ்திரேலிய டாலர்
decibel	டெசிபெல்
phallus	ஆண் குறி
Yangtze	யாங்சே
layer	அடுக்கு
stick	தடி
protocol	நெறிமுறை
ruler	ஆட்சியாளர்
roadstead	துறை
clamber	தொற்றி ஏறு
casement	ஜன்னல்
development	அபிவிருத்தி
kilo	கிலோ
normalcy	சுமூகம்
paleontology	தொல்லுயிரியல்
hearsay	கேள்வி
recommend	பரிந்துரை செய்
suspension	தொங்குதல்
threshold	வாயிற்படி
Pennsylvania	பென்சில்வேனியா
grimace	சுளி
brief	கொஞ்சம் சொல்
confined	படுத்த படுக்கையாக இரு
okra	ஆகாசக்கத்திரி
ninja	நிஞ்சா
snare	மாட்டிவிடு
animation	அசைவூட்டம்
charge	வரி
fell	வெட்டு
amend	திருத்து
anon	ஒரே தடவையில்
disappointed	ஏமாந்துபோ
terrorist	தீவிரவாதி
volunteer	மேற்கொள்
grind	அரைத்தல்
meadow	புல்வெளி
marble	அழகூட்டு
Saint Kitts and Nevis	செயிண்ட் கிட்ஸ் மற்றும் நெவிஸ்
Antarctica	அண்டார்டிகா
Bahrain	பஹ்ரைன்
whooping cough	கக்கு
foal	குட்டிப் போடு
urbanity	உபசாரம்
convent	கன்னியாமடம்
square metre	சதுர மீட்டர்
sound	ஒலி
magnesium	மக்னீசியம்
hope	நம்பிக்கை
practice	பயிற்சி செய்
severance	பிரிவு
nudge	முழங்கையால் தள்ளு
exposition	கூடம்
Antarctic	தென் துருவ
moo	கத்து
televise	ஒளிபரப்பு
jack up	உயர்த்து
shoddy	கீழ்த்தரமான
hardness	உறுதி
noblewoman	சீமாட்டி
navy blue	கடற்படை நீலம்
peninsula	மூவலந்தீவு
plurality	பன்மை
pork	பன்றி இறைச்சி
soporific	தூக்கத்தை ஏற்படுத்தும் மருந்து
Cairo	கெய்ரோ
ramification	உட்பிரிவு
handgun	கைத்துப்பாக்கி
constable	கொஸ்தாப்பர்
discipleship	சீடனாந்தொடர்பு
Nuremberg	ஜர்மனி
time zone	நேர மண்டலம்
company	நிறுவனம்
form	படிவம்
title	தலைப்பு
smooth	பரப்பு
afterwards	பின்னே
extortion	மிரட்டிப்பணம் பறித்தல்
dwarf	குள்ளமாக்கு
astonish	திகைக்க வை
considerable	ஆலோசிக்கத்தக்க
cyberspace	இணைய உலகம்
dense	செறிந்திரு
darling	அன்புக்குரியவர்
e-commerce	மின் வர்த்தகம்
warmth	காய்ச்சல்
nervous	பதற்றம்
submarine	நீர்மூழ்கி
tableware	கரண்டி முதலியனவை
transfuse	ஊடுருவச் செய்
weed out	எடுத்து வை
Cameroon	கேமரூன்
varnish	பளபளப்பாக்கு
springtime	வசந்த காலம்
speech	பேச்சு
Burundi	புருண்டி
strawberry	செம்புற்றுப்பழம்
top	உச்சி
spare	தவிர்
rebuild	மாற்று
deliberate	ஆலோசி
mutilate	அழித்துவிடு
mediate	மத்தியஸ்தம் செய்
bachelor	பிரம்மச்சாரி
broad	அகன்ற
buccaneer	கடற் கொள்ளைக்காரர்
moist	ஈரமாகு
miller	ஆலைத் தொழிலாளி
pheasant	காட்டுக் கோழி
stutter	தடுமாறு
teacup	தேநீர்க் கிண்ணம்
switch off	மாறிமாறிச்செய்
impressed	திகை
fruitful	செழி
pay back	வஞ்சம் தீர்
tonsillitis	இளநீர்க்கட்டு
igloo	இக்லூ
residence	வீடு
Jewess	ஹீப்ரூ
combine	இணை
cut	வெட்டு
see	பார்
vigour	ஆற்றல்
progress	முன்னேற்றம்
rust	கெட்டு போ
antidote	பரிகாரம்
dishonesty	நேர்மையினமை
confinement	பிரசவம்
creditworthy	கடன் பெறத்தக்க
deaf	செவிடான
flute	புல்லாங்குழல்
instinct	உள்ளுணர்வு
regional	பிராந்திய
rubber	இறப்பர்
statistics	புள்ளியியல்
gallic acid	தேநீர்
vaccinate	தடுப்பூசி
Guam	குவாம்
foot-and-mouth disease	வாய்ச்சப்பை
United Nations	ஐக்கிய நாடுகள் அவை
application	பயன்பாடு
screen	திரை
sesame	எள்
handsomeness	நலம்
phrase	சொற்றொடர்
