explanation	maelezo
sardine	dagaa
hip	nyonga
sincere	wazi
bale	mtumba
distortion	mbinu
Aden	Aden
announcer	mtangazaji
extort	-kamia
phial	mkebe
safely	salama
illegal	haramu
sewing machine	cherehani
metallurgy	madini
Nauru	Nauru
sea level	usawa wa bahari
Budapest	Budapest
Panama Canal	Mfereji wa Panama
Harare	Harare
A-bomb	kama kombora
myrtle	mhadasi
clothes	nguo
brilliance	anga
avenue	dawa
city	mji
expediency	nafasi
trinity	utatu
command	amri
bottom	chini
undesirable	chini
unique	-a pekee
creek	hori
cranium	mafuu
constantly	daima
Namibia	Namibia
Swaziland	Uswazi
deform	-chagua
transformation	geuzo
dish out	-pakua
telescope	darubini
signify	-maanisha
balloon	puto
Bahamian	Mbahama
webmaster	mtawala tovuti
order	amri
inclination	kijoyo
smallness	udogo
worthy	fani
grave	kaburi
sequence	mfuatano
kapok	usufi
battle	vita
welfare	starehe
mineral water	soda
drizzle	mrasharasha
truant	mtoro
impossibility	muhali
compatibility	utangamano
pederast	mfiraji
Gaza Strip	ukanda wa Gaza
get over	pata juu
alarm clock	kipima muda
business card	kadi kazi
Low German	nds
Red Cross	Msalaba Mwekundu
kick	teke
Mozambique	Msumbiji
lamb	mwanakondoo
barge	tishari
Frenchman	Mfaransa
sleepyhead	mlalaji
rug	zulia
choice	hiari
fluid	dabwadabwa
pharynx	koo
arccosine	kosinitao
masculine	-a kiume
brevity	ufupi
evermore	dahari
pesticide	kiuavisumbufu
flexible	nama
masonry	uwashi
seeming	onekana
Korean War	Vita ya Korea
Ares	Aresi
haphazardly	ovyo
luck	bahati
inn	hoteli
fuselage	mwili
well-heeled	afadhali kisigino
send	-peleka
notch	mchongo
unusual	-geni
headword	kidahizo
noose	kitanzi
laptop computer	kompyuta ndogo
Jesus Christ	Yesu Kristu
creativity	kuumba
Frankfurt	Frankfurt am Main
lightning conductor	umeme kipitisho
maiden name	mwali jina
alliance	fungamano
butterfly	kipepeo
late	mfu
reach	mfiko
loafer	lofa
commencement	mwanzo
nudity	utupu
cult	ibada
glorify	-kuza
procreation	uzalishaji
bile	nyongo
knuckle	nguyu
salver	kibao
encouraging	changamfu
pointless	butu
etiquette	nidhamu
breast cancer	saratani ya matiti
buzzard	shakevale
Strait of Gibraltar	Mlango wa Gibraltar
hyphenation	unganishaji
videocassette	kaseti ya video
Augustus	agosti
frail	hafifu
stress	kazo
armadillo	armadilo
waiting room	majilisi
assail	-hujumu
seethe	-wia
pillory	dharau
plagiarism	mfuato
geology	jiologia
guinea pig	mjaribiwa
cellular	rununu
shoal	kikwazo cha bahari
volume	mjao
layman	mlei
life	maisha
old	-kuukuu
fur	manyoya
throttle	-songa
bay	ghuba
hookworm	uchango
bill of exchange	hawala
baptism	ubatizo
democratic	-a kidemokrasi
sedge warbler	shoro nyusi-nyeupe
Eskimo	Mweskimo
International System of Units	Vipimo sanifu vya kimataifa
feeding bottle	chupa ya kunyonyesha
top hat	kofia ya mwanamume
exasperate	-vuruga
conversation	mazungumzo
friendship	urafiki
tact	umahiri
Montevideo	Montevideo
apex	kipeo
sustain	-tegemeza
comparability	ulinganifu
mildew	ukoga
reproduce	jamiiana
circular	duara
blasphemy	kufuru
radium	radi
belch	mbweu
wreath	zingo
colonial	kikoloni
sunlight	anga la jua
distraction	maburudisho
Strait of Hormuz	Mlango wa Hormuz
Urdu	kiurdu
book	kitabu
adieu	kwa heri
ladybird	nyckelpiga
rut	shimo
limited	mpaka
harbinger	mtangulizi
thong	ukanda
fragrant	harufu nzuri
trim	-kunga
turnover	mazunguko
Jerusalem	Yerusalemu
radish	figili
democratically	kidemokrasia
Nanjing	Nanjing
aim	lengo
gather	-kusanya
lumber	mti
friend	rafiki
HIV	VVU
Armenia	Armenia
nevertheless	lakini
witness	shahidi
pear	pea
stocking	soksi
gruel	ubwabwa
consanguinity	ujamaa
onerous	zito
assume	-dhani
loin	kiuno
soothsayer	kahini
resettle	-hamisha
unlawful	haramu
windowpane	kioo cha dirisha
Saudi	Msaudia
looting	uporaji
Rocky Mountains	Rocky Mountains
Vistula	Vistula
Rajab	Rajabu
accept	kubali
verdure	gombo
plug	plagi
become	-wa
perambulate	kufa
burst	-pasua
pour	-chimbuka
comedian	kinyago
brake drum	ngoma
offend	-kirihi
masquerade	kinyago
pant	-hema
father-in-law	mkwe
run off	mtiririko
mistreat	-tadi
brush off	kufuta
Judaism	Uyahudi
Gambia	Gambia
partial	pendelevu
Tonga	Tonga
hegemony	ubabe
Tuscany	Toscana
Nassau	Nassau
self-sufficient	binafsi maridhawa
water line	maji laini
end	mwisho
spit	mate
Pashto	Kipashto
whereabouts	mahali
parent	mzazi
little	-dogo
hot chocolate	kakao
potassium	kali
cream	mtindi
tailoring	ushoni
bitterly	kichungu
parse	-changanua
moisten	-rutubisha
north wind	kaskazi
contend	-shindana
hand out	-pukusa
toadstool	uyoga
Fiji	Fiji
rosy	pinki
Jordan	Yordani
French bean	guaro
damage	hasara
mainland	bara
spud	kiazi
Moor	Mauritania
exclusively	tu
economy	uchumi
childbirth	uzalishaji
dong	dhakari
debug	euo
agronomy	agronomia
Samoa	Samoa
oil cake	shudu
commence	anza
Inner Mongolia	Mongolia ya Kichina
local area network	LAN
beat	chapa
depart	-ondoka
carry on	-shika
meal	unga
sonny	mtoto
earthworm	nyungunyungu
Dodoma	Dodoma
Charleroi	Ubelgiji
harmonize	-patana
oppose	-bamba
experiment	jaribio
whisper	-nongʼona
vocalist	malenga
left-handedness	shoto
modify	rekebisha
erect	-simamisha
placenta	mji
bombshell	bomu
sitting	kikao
essay	insha
referee	mwamuzi
inflammation	kiwasho
accelerator	kichapuzi
definiteness	yakini
affliction	masaibu
transform	-geuza
meteor	kimondo
sable antelope	palahala
gunman	jangili
confident	tumaini
bridle	hatamu
sergeant major	soli
sunglasses	miwani ya jua
Roseau	Roseau
henhouse	koo chengo
delectation	anasa
moan	kite
landing strip	barabara
technician	fundi
freezing	ganda
awe	kicho
Socrates	Sokrates
breeze	mpepea
quagmire	bwawa
loving	pendo
witty	-cheshi
shoulder blade	kombe
recess	daka
parable	mithali
sling	kombeo
joystick	usukani
jape	kasheshe
subaquatic	nyambizi
San Marino	San Marino
itinerary	ratiba
next door	aidha mlango
well-being	neema
determination	moyo
stork	korongo
pulp	mashapo
exact	kamili
fully	barabara
quay	gati
today	leo
ritual	ibada
exterminate	-maliza
distort	-chagua
uprightness	nyofu
abduct	-nyara
evil eye	kijicho
connoisseur	jaji
anxious	kadirifu
Liechtensteiner	Mlishenteni
cogitate	fikiri
Virgin Islands	Visiwa vya Virgin
kitchen garden	jiko bustani
shred	kupapura
fee	ada
South Africa	Afrika Kusini
finger	kidole
human	mtu
sputnik	mwezi
grenade	kombora
ravine	genge
London	London
passport	pasi
putrefaction	wozo
immoral	zinifu
billiards	biliadi
trolley	kiberenge
footstep	nyayo
unwillingly	kwa nyongo
raincoat	mrasharasha juba
strategy	mbinu
curtain	pazia
demand	dai
insurrection	uhasi
United Kingdom	Uingereza
emigrate	-tama
conquest	ushindi
threaten	-tisha
soar	-umbia
bedtime	ngono
intercession	uombezi
particular	maalumu
performing arts	sanaa
killing	uuaji
astronaut	mwanaanga
quake	tetemeko la ardhi
universal	kienezi
atomizer	chombo cha kunyunyizia
serum	dawa ya sindano
visualise	kuona
Tajik	Kitajiki
archaic	kikale
fall	-anguka
thing	kitu
hippopotamus	kiboko
guide	-ongoza
bed	kitanda
equine	farasi
fertilizer	mbolea
excuse	udhuru
weave	fuma
sexual intercourse	ngono
religious	mtawa
shin	muundi
transplant	-sia
manly	fahali
stealthily	njongwanjongwa
paratrooper	askari wa mwamvuli
halibut	halibati
square mile	maili ya eneo
Zimbabwe	Zimbabwe
chicken coop	nyumba ya kuku
Vancouver	Vancouver
wretchedly	kinyonge
bleach	bluu
faith	imani
goblet	kikombe
outcry	kilio
study	-soma
differently	vinginevyo
patriotism	uzalendo
pickle	kachumbari
press conference	majibizano
grandnephew	mjukuu
negro	gozi
ninth	-a kenda
ramrod	mdeki
Paraguayan	Mparagwai
rugby	raga
Anglo-Saxon	Kiingereza cha Kale
cast iron	miminiko chuma
blow	-puliza
reap	vuna
wonder	ajabu
drunk	mlevi
consolidate	-unga
Roman	Mrumi
meditation	fikara
slime	kinamasi
airport	uwanja wa ndege
Wicca	ujia
facial hair	udevu
sender	mletaji
hedgehog	kalunguyeye
fickle	geugeu
puncture	-dudumia
scrawl	mchakuro
haddock	chena
Luxembourg	Luxembourg
daddy longlegs	chande
socket	kipenyo
eight	nane
pig	nguruwe
cavity	mvungu
stable	zizi
displacement	nyendo
font	polisi
congratulate	-shangilia
pamper	-enga
rebate	marupurupu
egalitarianism	maadili
budget	bajeti
slavery	utumwa
gird	-dadisa
stepfather	baba wa kambo
equator	ikweta
Wolof	Kiwolofu
firefighter	mzimamoto
India	Uhindi
Maltese	kimalta
dress	gauni
goat	mbuzi
trail	utambaazi
here	hapa
barley	shayiri
telegraphy	simu
speed up	-kimbiza
outbreak	mlipuko
lentil	dengu
constraint	uzuizi
emu	emu
Central America	Amerika ya Kati
interface	kusano
ululate	piga vigelegele
self-portrait	binafsi taswira
lightly	jinsi inanyesha manyunyu
endure	-vumilia
rickets	chirwa
rubber tree	mpira
days	siku
Trinity	utatu
even	hata
anchorage	utako
arrive	kufika
pituitary gland	tezi
adulterer	mwasherati
bustle	ghasia
understandable	plen
treasurer	mtunza hazina
triton	baruti
avocet	msese domojuu
barbed wire	sengʼenge yenye miiba
edict	oda
trichotillomania	trikotilomania
fight	-pigana
wage	mshahara
fasten	funga
October	Oktoba
attain	-diriki
council	baraza
military	jeshi
pate	kichwa
borrow	azima
session	kikao
appoint	-simika
cape	rasi
glide	-tiririka
inaugurate	-zindua
fist	ngumi
savagery	ushenzi
perineum	msamba
dough	kinyunga
intermission	muhula
Genghis Khan	Genghis Khan
disappoint	-vunja
liar	mwongo
survey	-kagua
carry	-beba
writing	maandiko
tee	jazi уa mwanasoka
case	kesi
forge	-chonga
bring up	lea
bricklayer	mwashi
remainder	baki
insinuation	singizio
scout	skauti
pasture	malisho
round trip	kwenda na kurudi
contagion	wito
infection	ambukizo
nick	pengo
inactivity	ulitima
tubercle	kinundu
guitar	gitaa
coordination	uratibu
juniper	mreteni
ordeal	mtihani
dislodge	ondoa
table of contents	yaliyomo
Antigua and Barbuda	Antigua na Barbuda
Asia	Asia
merciless	dhalimu
strand	uzi
scenario	kitabu
route	njia
honest	-aminifu
aspect	kipengele
wound	kidonda
usefulness	manufaa
fatigue	kinyongʼonyo
anticipate	-tangulia
freshness	mzizimo
raffia	mlala
werewolf	mtu-mbwa
conception	mimba
salsa	chama
all the same	mamoja
carpet	zulia
insult	tusi
peanut	karanga
negotiator	mpatanishi
edema	tambazi
artificial	bandia
marriage	ndoa
macaroni	tambi
Ido	Kiido
Bering Strait	Mlango wa Bering
Ganges	Ganga
moonshine	mwezi angavu
marasmus	kutopata chakula cha kutosha
hatred	chuki
welcome	karibu
bushbaby	komba
stem	shina
whiskey	wiski
check	hundi
egret	korongo
attack	shambulio
hemp	bangi
nose ring	kishaufu
slump	mbwago
armchair	kochi
Tbilisi	Tbilisi
green-eyed	chanikiwiti jicho
invade	-bokoa
favor	penzi
disgust	karaha
iron	chuma
Earth	dunia
cook	mpishi
favorite	kipenzi
indeed	kweli
magician	mchawi
expedition	safari
West	magharibi
hunt	-winda
excel	-shinda
collection	fungu
idiom	msemo
scour	-sugua
counselor	mshauri
rave	-payapaya
scuffle	-buburushana
minuscule	-dogo
boredom	uchovu
loquacity	usemaji
question mark	alama ya kuuliza
mode	modi
lightweight	uzito wa katikati ya chini
remuneration	mshahara
outline	muhtasari
prick	chomo
morning	asubuhi
bottleneck	mlango
interior	moyo
absent	hako
Jonah	Yona
postmaster	kichwa
postmark	alama
claimant	mdai
necromancer	kaimu
compatriot	mtani
field mouse	puku
cud	cheuo
light up	-angaza
likely	yamkini
mediocre	wastani
initiator	mwanzishaji
Gaborone	Gaborone
Himalayas	Himalaya
Christmas tree	mti wa Krismasi
Hittite	Kihiti
resignation	unyonge
join	-unga
satiety	ujazi
approach	-karibia
vernacular	istilahi
paragraph	aya
exceptionally	mno
spool	kibiringo
barbarian	mshenzi
head over heels	pindupindu
adoption	upokeaji
soda	magadi
whiteness	weupe
buoy	boya
raven	kunguru
Georgia	Jojia
olive tree	mzeituni
reverent	uadhilifu
anemone	shufari
sea	bahari
foodstuff	chakula
coincide	-sadifu
teaspoon	kijiko cha chai
population	umma
gently	pole
finale	tamati
prophylaxis	uzuiaji
rudder	usukani
doll	sesere
edible	kulika
game of chance	kamari
childhood	utoto
scurf	kikoko
Croat	Mkorasia
Gulf of Guinea	Ghuba ya Guinea
Luanda	Luanda
lowercase	herufi ndogo
dressing room	gauni chumba
desktop computer	kompyuta ya mezani
echo	mwangwi
use	-tumia
octopus	pweza
eagle	tai
ovum	yai
mum	nina
hole	tundu
hypothesis	dhanio
tern	shakwe
hang	-aliki
eminence	ukuu
tangerine	chenza
Canadian	Mkanada
syringe	bomba
air pocket	anga mfuko
hereafter	jongomeo
tribune	kiongozi
freshly	karibuni
omission	ruko
proscription	shauri
once more	tena
propensity	mila
languish	-zia
alienate	-saliti
latest	tama
screw pine	mkadi
Assamese	Kiassam
ambiance	mandhari
ambitious	pasi
whirl	-vurumisha
lading	shehena
intonation	kiimbo
burrow	kishimo
entomology	entomolojia
Macedonia	Masedonia
theologian	mwanateolojia
footprint	nyayo
atomic number	namba atomia
engagement	mpambano
healthy	-zima
expedience	nafasi
clumsy	dole
cupboard	kabati
sliver	kibao
primate	tumbili
proficiency	ubingwa
badness	ubaya
Guyana	Guyana
pellet	kidonge
confirmed	-kubwa
retreat	-rejea nyuma
strongly	kwa nguvu
break wind	-shuta
demonstrative	kionyeshi
linesman	lainzmani
yttrium	yitri
possessed	enye
second hand	nukta mkono
peanut butter	siagi ya karanga
satisfy	-tua
cosmos	angani
transgression	dhambi
cane	fimbo
go ahead	endelea
urgent	muhimu
around	karibu
weight	uzito
access	fikio
adulterous	zinifu
handful	konzi
for example	kwa mfano
tentacle	mnyiri
arbitrator	mwamuzi
eraser	kifutio
woodcutter	mtemi
collarbone	mtulinga
cress	bumbi
Republic of Cuba	Kuba
Argentinian	Mwajentina
Suriname	Surinamu
Tigris	Hidekeli
archipelago	funguvisiwa
Komi	Kikomi
blind	kipofu
confidence	imani
omasum	kitabu
kick in	kufa
fauna	mnyama
clear	wazi
suitcase	sanduku
extension	mwendelezo
graze	-lisha
appendicitis	mshipa
cumin	jira
decennium	muungo
spoke	njiti
gargle	-sukutua
compliant	teke
emergency	dharura
abjection	udhalili
International Monetary Fund	IMF
balance sheet	kapani shuka
Pallas	Palasi
lazy	-vivu
expand	-enea
individual	moja
youngster	kijana
dirt	uchafu
madam	bibi
outstanding	mashuhuri
prior	mbele
urine	mkojo
Pacific Ocean	Pasifiki
weighty	ukubwa
admission	ukiri
missionary	mmisionari
bugle	buruji
diacritical mark	nukta
armpit	kwapa
rummage	-pekua
John	Yohana
typographical error	tego
e-mail	barua pepe
puff up	-kubaza
Jordanian	Myordani
Liguria	Liguria
prayer beads	shanga za maombi
impoverishment	ganjo
cover	funika
site	mahali
coypu	Ulaya
chess	sataranji
disgusting	makuruhi
whirlpool	zungusho
crotchet	-fuma
veteran	mkale
feature	hulka
helpless	hohe hahe
carbon paper	kinakilo
reservation	risavu
Port Louis	Port Louis
leap year	mruko mwaka
Irish	Mwayalandi
numerous	chapa
negligently	ovyo
mix	-changanya
complicate	-tatia
take out	-toa
Mediterranean	Bahari ya Mediteranea
opinion	maoni
feminine	-a kike
preparation	andalio
East	mashariki
granddaughter	mjukuu
Brunei	Brunei
marmalade	jem
engineering	uhandisi
saxophone	harimuni
South Pole	Ncha ya kusini
foreign policy	sera za kigeni
Australian dollar	dola ya Australia
stick	fimbo
threshold	kizingiti
ruler	rula
roadstead	bandari
casement	dirisha
sphere of influence	eneo
brief	fupi
kilo	kilo
accordion	kodiani
development	maendeleo
mammy	mama
suspension	kitanguo
hearsay	kivumi
protocol	itifaki
clamber	-paraga
normalcy	tengemano
layer	tabaka
phallus	dhakari
recommend	-pendeleza
okra	bamia
pintail	bata kipini
Peruvian	Mperu
paleontology	paleontolojia
Pennsylvania	Pennsylvania
machine shop	mashine duka
Yangtze	Yangtze
volunteer	-jitolea
grind	-saga
fell	-kata
terrorist	adui
charge	shtaka
meadow	shamba
snare	mtego
Bahrain	Bahareni
animation	ramsa
whooping cough	kifaduro
marble	gololi
foal	kinda la farasi
convent	monasteri
Malawian	Mmalawi
Hegira	Hijra
Saint Kitts and Nevis	Saint Kitts na Nevis
Antarctica	Antaktika
schoolbook	chuo kitabu
weather forecaster	mtabiri wa hali ya anga
square metre	mita ya mraba
sound	sauti
hardness	ushupavu
pork	kitimoto
Nuremberg	Ujerumani
practice	mazoezi
craftsman	fundi
hope	tumaini
exposition	ufafanuzi
money order	hawala
nudge	mdukuo
constable	afisa
handgun	bastola
jack up	-jeki
magnesium	magnesi
shoddy	puluki
Cairo	Kairo
hemoglobin	hemoglobini
time zone	Saa za Eneo
afterwards	halafu
astonish	-shangaza
form	umbo
company	kampuni
title	anwani
warmth	moto
darling	mpenzi
springtime	bamvua
dwarf	mbilikimo
Cameroon	Kameruni
smooth	laini
cardinal number	nambari
nervous	tukutu
Gloucester	Uingereza
extortion	unyakuzi
dense	-kuza
corps	maiti
synthetic fiber	mirabaraba
baking powder	hamira
submarine	nyambizi
sugar maple	mwaramoni sukari
e-commerce	mauzo kwa kazi
cyberspace	mgahawa wa wanamtandao
raffle	bahati nasibu
top	juu
speech	hotuba
moist	chepechepe
Burundi	Burundi
big brother	kaka
headgear	kofia
bachelor	kapera
broad	-pana
strawberry	stroberi
switch off	kuzima
coquette	mbembe
tonsillitis	kimio
deliberate	makini
stutter	-babaika
mutilate	-poozesha
curlew	sululu
mediate	-aza
spare	-epusha (na)
miller	msagi
Torah	taurati
fruitful	zazi
cut	kata
dishonesty	habithi
progress	maendeleo
flute	filimbi
see	-ona
rubber	mpira
residence	makao
instinct	silika
Jewess	Kiyahudi
vigour	nguvu
Worcester	Uingereza
combine	-unganisha
confinement	uzalishaji
rust	kutu
vaccinate	-chanja
Eden	mbuga za peponi
Dar es Salaam	Dar es Salaam
deaf	kiziwi
foot-and-mouth disease	ugonjwa wa midomo na miguu
tea party	tipati
Guam	Guam
demigod	nusumungu
crank	kombo
screen	kinga
obtain	-pata
blossom	ua
author	mwandishi
United Nations	Umoja wa Mataifa
technique	ujuzi
application	mbandiko
kerchief	kitambaa
traveller	msafiri
thank	shukuru
replace	-pokea
phrase	msemo
oppression	ujeuri
brooch	bizimu
sesame	semsem
emesis	tapishi
zoo	bustani ya wanyama
World Trade Organization	Shirika la Biashara Duniani
capable	hodari
tot	mtoto
dish	sahani
exactly	hasa
Guinea-Bissau	Ginebisau
swear	-apa
riddle	fumbo
hotness	joto
concede	-ungama
creditor	mdai
baggage	mzigo
killer	mwuaji
bellybutton	kitovu
disperse	-tawanya
skyscraper	maghorofa
nobelium	nobeli
iguana	nyama kama kenge
suicide	jiua
taste	kionjo
lash	kiboko
tiddler	mtoto
external	nje
Sabbath	Ijumaa
reunion	mkutano
jump	-ruka
rim	ukingo
confirm	-thibitisha
adze	tezo
approving	radhi
attar	uturi
dismay	fadhaa
film	filamu
bewail	-lilia
archbishop	askofu mkuu
exhausting	choshi
Palestine	Palestina
Cuba	Kuba
black out	eusi nje
sabotage	hujuma
insignificance	unyonge
support	-himili
examine	-kagua
relation	jamaa
fitness	uhodari
intellect	akili
sequel	tokeo
rough	-a kimashamba
rhodium	rodi
vault	kuba
ball bearing	gololi
spotted	madoadoa
counterfeiter	mbini
grapevine	mzabibu
tank	tangi
irritation	kiwasho
island	kisiwa
unintentionally	kwa nasibu
console	-liwaza
lard	shahamu
brothel	danguro
bracelet	bangili
self-control	ubaridi
stain	doa
bumpy	kinundu
unsatisfactory	adimu
adversity	shari
revive	-fufua
Amazon	Amazonas
blessing	baraka
kind	aina
aura	hewa
facial expression	uso
less	kasoro
Jap	Kijapani
Winchester	Uingereza
bigotry	ushupavu
overtake	-fikia
harlot	zani
climax	kipeo
endanger	-ogofisha
nook	kona
propose	-azimu
black mamba	futa
stallion	fahali
graduate	-hitimu
Bahamas	Bahama
interject	-daka maneno
vice president	makamu wa rais
submit	-sujudia
ununbium	ununbi
lazybones	mparuzi
bookcase	kabati
leg	mguu
organism	mnyama
lesbian	shoga
network	mtandao
comic	mcheza
soup	supu
telegram	simu
eyelash	kope
absence	ukosefu
foam	povu
palisade	boma
meekly	kikondoo
absolve	-feleti
television set	televisheni
tureen	bakuli
bacteria	bakteria
rickshaw	riksha
plumber	fundi bomba
gnome	mbilikimo
forbidding	kanya
Strait of Dover	Mlango wa Dover
religion	dini
housing	malazi
interpret	-aridhia
bore	-udhi
pronunciation	matamshi
swordfish	mchumbururu
lag	-kawia
articulate	-nena
copulation	-tombana
coral	marijani
outlay	haraja
sampling	uonjaji
insubordination	maasi
printing press	matbaa
oblong	mstatili
ruin	ganjo
write	andika
arm	mkono
Federal Republic of Germany	Shirikisho la Jamhuri ya Ujerumani
recognize	-tambua
fabricate	-buni
azure	-a samawati
clit	kinembe
crucify	-sulubu
ice age	enzi ya barafu
Baikal	Urusi
Delaware	Delaware
Buenos Aires	Buenos Aires
Armenian	Mwarmenia
finish	maliza
condiment	kitoweo
arrival	kifiko
herbalist	mganga
wireless	redio
copy	nakala
tartar	susa
salvation	wokovu
demarcation	usawanisho
reconnaissance	upelelezi
hydrophobia	kalab
shipment	shehena
foreclosure	burudani
heterogeneous	kumbakumba
maternal	kuke
grog	sio
vexatious	sumbufu
Cinderella	Bibi Majivu
cranberry	kranberi
mathematician	mwanahisabati
Mar	Mac
colostrum	maziwa ya kwanza ya mnyama aliyezaa
evil	ubaya
labour	kazi
comer	mgeni
wickedly	vibya
exist	kuwa
embroider	-fuma
try out	-dara
pestilence	maradhi
soursop	stafeli
editor	mhariri
serif	kitako
drama	mchezo wa kuigiza
expulsion	komoo
red squirrel	kindi
electronic mail	emeli
areca	mpopoo
decline	-inama
imprison	-funga
subject	raia
teething	meno
competence	uweza
orbit	mzunguko
remorse	juto
flap	papatika
reform	-ongoa
paralyze	-poozesha
pout	-nungʼunika
shit	kinyesi
destructive	harabu
sodomise	fira
cigar	biri
mailbox	kidaka barua
crippled	-a kiwete
Lusitanian	Kireno
Malay	Kimalasia
educate	elimisha
Father	baba
Djibouti	Jibuti
milk	maziwa
widower	mjane
saddle	saruji
warm up	-pasha moto
delimit	-pakia
anecdote	hekaya
sea urchin	fuma
motorcar	gari
decadence	uhuni
whirlwind	chamchela
distribute	-gawa
timetable	ratiba
gasbag	mvuke fuko
Jehovah	Yehova
butterfly stroke	kipepeo
yell	-foka
pleasantly	vizuri
Albania	Albania
ethnic group	kabila
recall	-tanabahi
disability	kilema
perimeter	mzingo
research	utafiti
cohere	-ambika
probability	yamkini
communism	ukomunisti
twat	kuma
wording	kalima
springy	-a spiringi
breastplate	kinga ya kifuani
home	nyumba
report	ripoti
die	kufa
cookie	biskuti
project	mradi
bread	mkate
influence	nguvu
testament	agano
microbe	kidudu
vise	kisongo
granular	chengachenga
consumption	haraja
great crested grebe	kibisi ushungi
New Year	Mwaka Mpya
addressee	mwandikiwa
vetch	pojo
Santiago	Santiago de Chile
Oceania	Oceania
Amsterdam	Amsterdam
Zambezi	Zambezi
New Caledonia	Nyukaledonia
fire engine	gari la zimamoto
Isaiah	Isaya
idler	mkunguni
danger	hatari
mankind	dunia
learning	utaalamu
booby	kijana
foreign	-geni
defend	-kinga
tourist	mtalii
heifer	mori
rook	ngome
theta	shangazi
revoke	-batili
sham	singizio
seem	-onekana
bewitch	-loga
extend	-endeleza
spurn	dharau
cache	kache
homeless	hamaji
bugler	mazeka
Bratislava	Bratislava
trident	tridenti
pretext	udhuru
owner	mwenyewe
branch	tawi
hear	sikia
behave	fanya
toll	hasara
holiday	likizo
pocketbook	pochi
ad	tangazo
pass out	-zimia
reporter	ripota
intersect	-kingama
salesman	muuzaji
europium	europi
conjurer	kiini macho
Guyanese	Mguyana
cymbal	toasi
replicate	kuiga
rumple	-vuruga
produce	zao
terror	kikuli
dude	bwana
synagogue	sinagogi
decease	mauko
pineapple	nanasi
pulchritude	uzuri
deny	kana
conceit	majivuno
soda water	soda
funny	-cheshi
dropsy	istiska
golf club	kingoe
mole cricket	chenene
Greater Antilles	Antili Kubwa
excursion	maneva
Ob	Urusi
sane	razini
Cayman Islands	Visiwa vya Kayman
Helsinki	Helsinki
take after	chukua baada ya
sponge	sifongo
Democratic Republic of the Congo	Jamhuri ya Kidemokrasia ya Kongo
fat	mafuta
seed	mbegu
dare	-thubutu
farewell	kwa heri
Orient	mashariki
tenacity	ushikamano
starch	wanga
spill	-kupua
rostrum	jukwaa
gash	tojo
vulgarity	matule
putty	plastilini
Corsica	Korsika
debunk	dhihirisha
overpower	-weza
magazine	gazeti
inexpensive	rahisi
devotion	taa
interpretation	tafsiri
salt	chumvi
falcon	kozi
hammer	nyundo
pope	papa
consummation	ukamilifu
invent	-zua
bias	upendeleo
moderately	kwa kiasi
swimmer	mwogeleaji
latex	kifutio
Christ	Kristo
celeriac	figili
San Salvador	San Salvador
lion cub	shibli
manuscript	muswada
monster	dubwana
pine	msonobari
proper noun	nomino kamili
doorway	lango
daylight	mchana
zinc	zinki
vigorous	tipwatipwa
perhaps	labda
praise	sifa
forever	milele
car	gari
daemon	pepo
thymus	kongosho
peephole	shubaka
binoculars	darubini
war cry	zomeo
statue	sanamu
pollen	mbelewele
resole	-tilisha nyayo
one-sided	mwajimbo kando
given name	jina
camouflage	kamaflaji
detachment	sehemu
count	-hesabu
umbrella	mwavuli
Damascus	Dameski
balk	-vizia
dislocate	-shtua
thug	nduli
strangle	nyonga
brace	gango
chandelier	thurea
online	mkondoni
protectorate	mahamia
in any event	pengine na pengine
ruthenium	rutheni
secondary school	sekondari
riverbank	ukingo wa mto
Bangkok	Bangkok
fail	-shindwa
crouch	-chutama
salutation	heshima
share	hisa
erstwhile	mara moja
float	-elea
apathy	sugu
reliable	madhubuti
beak	mdomo
amulet	hirizi
storeroom	ghala
attendance	hudhurio
glisten	-zagaa
sorrel	chika
checker	kikagua
woe	ole
Maundy Thursday	Alhamisi kuu
squadron	kundi la manowari
Laotian	Mlaosi
Nicholas	Nikolau
countable	kuhesabika
Vietnamese	Kivietinamu
are	ni
summary	muhtasari
cooker	jiko
organize	-panga
contact	mgusano
memento	zawadi
dictatorial	beberu
housewife	bibi
narrate	-simulia
conceal	-funika
rot	oza
adhere	-ambata
thimble	kastabini
tuft	sekini
orange grove	kiunga cha michungwa
briefly	kifupi
perpendicular	wima
Czech Republic	Jamhuri ya Cheki
hypnosis	kiini macho
Peru	Peru
troth	arusi
consort	mume
sharpness	ukali
reply	jibu
disobedience	uasi
irradiation	umeme
ore	mtapo
lead	risasi
cannon	mzinga
reminder	kumbukumbu
lagoon	wangwa
candlestick	kinara
circumcise	-tahiri
halyard	jarari
engineer	mhandisi
caper	kasheshe
black hole	shimo jeusi
noontide	adhuuri
peak	kilele
elder	mzee
progenitor	baba
frozen	ganda
wrath	kiruu
Zulu	Kizulu
nationality	utaifa
majesty	utukufu
tenth	-a kumi
rhetorical question	balagha
kingfisher	mdiria
crustacean	gegereka
referendum	kura ya maoni
manifesto	manifesto
retail	rejareja
sexually transmitted disease	ugonjwa wa uasherati
sultanate	usultani
mull over	fikiri
knock out	shinda kabisa
genital	chini
skin	ngozi
motivation	haja
success	fanaka
January	Januari
caller	mgeni
fortress	ngome
sole	unyayo
gullet	mio
proxy	wakala
forget	-sahau
roach	mende
foreign country	ugeni
Angola	Angola
