adjudicate	mengadili
Kurosawa	Akira Kurosawa
encephalitis	radang otak
attar	atar
disrespect	ketidakhormatan
intellect	akal
inferno	neraka
support	menopang
delirious	bebas
examine	memeriksa
rough	kasar
insignificance	kecil
relation	keluarga
mogul	konglomerat
vault	makam
gravitate	menarik
monopoly	monopoli
flippant	lucu
weasel	cerpelai
grapevine	saluran
dandle	mengayun
counterfeiter	pemalsu/peniru
fitness	pantas tidaknya
sabotage	sabot
spotted	barik-barik
senile	pikun
rhodium	rhodium
paltry	sedikit/tidak cukup/kurus
handmade	buatan tangan
unencumbered	tak terkekang
ball bearing	bantalan peluru
iota	sekecil-kecilnya
forest fire	kebakaran hutan
Bonaire	Bonaire
seabed	dasar laut
compulsively	dengan paksaan
cyclic	berkitar
namelessness	anonim
sequel	sambungan
starved	kebuluran
Betelgeuse	Betelgeuse
methyl	metil
whipped cream	susu kental yg dikocok
revive	menghidupkan kembali
Beelzebub	hantu
bracelet	gelang
unintentionally	tanpa mengetahui
adversity	kecelakaan
tank	tank
stain	noda
irritation	marah
console	hibur
island	pulau
yearbook	tahunan
fatty	berminyak
lard	memperbesar
tapered	tugu
Amazon	Amazon
backpack	ransel
disarm	melucuti senjata
veterinary medicine	diagnosa
brothel	bordil
self-control	tekad
prenatal	ada sebelum lahir
multilateral	multilateral
bumpy	setengah setengah
brain drain	mengalirnya tenaga ahli
airlock	angin palsu
meniscus	meniskus
isotropy	simetri
botanical	botani
episiotomy	episiotomi
mother tongue	bahasa ibu
pentameter	sajak bersuku lima
preschool	taman kanak kanak
blackbody	benda hitam
acyclic	asiklik
District of Columbia	D.C.
sahib	Sahib
eosin	eosin
mass number	nomor massa
quantum theory	mekanika kuantum
endanger	membahayakan
Bahamas	Bahama
kind	jenis
blessing	berkat
propose	mengusulkan
aura	udara
facial expression	tampang
Jap	Jepang
submit	kalah
peasant	petani
artiodactyl	kijang
graduate	lulusan
solar	matahari
overtake	menyalip
interject	memasukkan
alopecia	botak
harlot	cabo
less	kurang
cringe	menghindari
pathologic	mengenai penyakit
pathological	mengenai penyakit
nook	sudut
bookshelf	rak buku
stallion	kuda jantan
vice president	wakil presiden
activation energy	energi aktivasi
ferromagnetism	feromagnetisme
inhaler	penghisap
bigotry	fanatisme
climax	orgasme
brontosaur	brontosaurus
sulfonamide	sulfonamida
Winchester	Winchester
Donetsk	Donetsk
Midas	Midas
Philemon	Philemon
cerussite	kerusit
ununbium	ununbium
psychotropic	psikotrop
absence	ketidakhadiran
comic	komik
bacteria	bakteri
benzene	benzena
leg	kaki
organism	organisme
micturition	buang air kecil
eyelash	bulu mata
foam	busa
Axis	Itali
forbidding	bertujuan melarang sesuatu
network	jaringan
telegram	telegram
absolve	membebaskan/ bertingkah-laku
bookcase	rak buku
melancholic	sedih
soup	sup
neural	gugup
rickshaw	becak
dinner table	meja makan
palisade	memisahkan
Sulawesi	Sulawesi
illiteracy	buta huruf
television set	televisi
acetic	kecut
gnome	kurcaci
lesbian	lesbian
plumber	tukang pipa
income tax	pajak penghasilan
tureen	mangkuk besar
lingual	linguistik
mesotron	meson
religion	agama
outlay	pengeluaran
articulate	fasih
bore	membosankan
pronunciation	cara baca
interpret	terjemah
apotheosis	impian
genre	jenis
coral	batu karang
lag	menahan
housing	rumah
akin	saudara
snooze	tidur sementara
ruction	keributan
feminist	pejuang hak wanita
jocular	lucu
disposal	kecenderungan
sampling	sampling
leafy	rindang
copulation	persetubuhan
rampage	mengamuk
introspection	mawas
renege	mungkir
oblong	lonjong
scorer	tukang cetak biji
signatory	yang turut menandatangani
byproduct	hasil sampingan
conveyor belt	ban berjalan pembawa barang
syllabification	silabifikasi
printing press	mesin cetak
insubordination	pembangkangan
swordfish	todak
poltergeist	poltergeist
trigonometry	trigonometri
Timor Sea	Laut Timor
garnet	batu delima
fishy	aneh
swat	banting
sonic	sonik
arm	lengan
Federal Republic of Germany	Republik Federal Jerman
ruin	hancurkan
recognize	mengenal
remark	melihat dari kejauhan
fabricate	membangun
write	menulis
Baikal	Republik Sosialis Uni Soviet
tea cosy	senang
recitation	latihan
crucify	menyalib
Delaware	Delaware
acinus	buah frambus
foreign exchange	pasar valuta asing
falls	jeram
clit	itil
azure	biru langit
ice age	zaman es
earwig	binatang ʼearwigʼ
psychoanalyst	penganalisis
litotes	laporan kurang dari sebenarnya
skimmed milk	susu skim
aquatics	akuatik
CRO	osiloskop
sigma	sigma
Buenos Aires	Buenos Aires
Armenian	Armenia
finish	selesai
maternal	bersifat keibuan
shipment	muatan
sop	basah
unlike	tidak sama dengan
hydrophobia	gila
godsend	keuntungan
copy	menyalin
defeatist	lemah
Mar	Mar
surcharge	menipu
wireless	nirkabel
arrival	kedatangan
salvation	keselamatan
condiment	sambal
demarcation	demarkasi
foreclosure	pertunjukan
vexatious	menjengkelkan
typify	melukiskan
heterogeneous	heterogen
mathematician	ahli matematik
cranberry	beri biru
tartar	karang gigi
reconnaissance	pengintaian
impend	mendekati sekejap
colostrum	kolostrum
Cinderella	Cinderella
Independence Day	Hari Kemerdekaan
exist	ada
red squirrel	bajing
labour	berjuang
try out	berupaya
evil	jahat
serif	dasar
hardworking	giat
Dubliner	Irlandia
embroider	sulam
leakage	keluar
coastline	pantai
editor	penyunting
pestilence	pes
expulsion	pengusiran
communal	umum
arithmetical	seturut ilmu hitung
Orleans	Orléans
comer	tamu
wok	wajan
drama	drama
coloured	berwarna
syncope	pingsan
reflex	refleks
chevrotain	kancil
radioactive	radioaktif
soursop	sirsak
petrify	membatu
plumy	ringan dan lembut seperti bulu
bot	robot
magnification	pembesaran
card game	permainan kartu
Utrecht	Utrecht
palaeoclimatology	paleoklimatologi
cayenne	cabai merah
nuclear family	keluarga inti
Death Valley	Death Valley
catabolism	katabolisme
water pollution	pencemaran air
electronic mail	e-mail
shit	tahi
subject	subyek
cigar	cerutu
baneful	jahat
orbit	jangka
decline	turun
competence	keterampilan
imprison	memenjarakan
destructive	bersifat merusak
reform	reformasi
flap	lambaian
remorse	sedih
enteric	tipus
mailbox	kotak surat
crippled	lumpuh
palatine tonsil	amandel
cultism	ketaatan
windshield	kaca depan mobil
madden	berang
conglutinate	lengket
pout	rajuk
fivefold	lima kali lipat
plausible	patut dipuji
humanitarian	humanis
telemetry	telemetri
davit	dewi-dewi
teething	pertumbuhan gigi
sodomise	menyeburit
paralyze	melumpuhkan
Sabah	Sabah
French Indochina	French Indochina
Thalia	Thalia
Judas	Yudas Iskariot
bubonic plague	delirium
biryani	biryani
clairvoyant	waskita
Malay	Melayu
educate	didik
Father	Bapa
whirlwind	badai
breakwater	pemecah gelombang
distribute	membagikan
bunting	burung
Djibouti	Djibouti
warm up	memanaskan
delimit	memutuskan
augur	gurdi
motorcar	mobil
milk	susu
Jehovah	Tetragrammaton
anecdote	anekdot
for the most part	setelah dipertimbangkan semuanya
saddle	pelana
Lusitanian	Portugis
voluptuous	sehat dan riang
timetable	jadwal
homework	pekerjaan rumah
episcopal	keuskupan
widower	duda
infantry	infanteri
sea urchin	bulu babi
intertwine	memintal
gasbag	sampul
meteorological	hal jawatan cuaca
controller	akuntan
librarian	pustakawan
decadence	kemerosotan
Reformation	Reformasi Protestan
Albania	Albania
twat	tempik
ethnic group	suku
lavish	boros
recall	ingat
research	penelitian
probability	kemungkinan
communism	komunisme
oblivious	mabuk
Tamil Tigers	Macan Tamil
ambrosia	madu
yell	teriak
cohere	menempel
parody	plesetan
butterfly stroke	gaya kupu-kupu
abbacy	tanah
perimeter	batas
rapacious	serakah
euphonic	harmonis
disability	disabilitas
kyphosis	bungkuk
birthrate	angka kelahiran
anti	anti
peeper	pengintai
thistle	semacam tumbuhan berduri
wine cellar	kamar kecil penyimpan barang
springy	papan loncatan
titration	titrasi
irregularly	dengan tidak selalu
pleasantly	dengan mentertawakan
actively	bersifat
anthroposophy	antroposofi
Indochina	Indo-China
antiparticle	antipartikel
Musca	Musca
anagram	anagram
Amsterdam	Amsterdam
microbe	mikroba
drawback	belakang
influence	pengaruh
report	laporan
project	proyek
home	rumah
bread	roti
oxalis	duit
die	mati
nutty	gila
outlet	muara
New Caledonia	Kaledonia Baru
granular	kasar
consumption	konsumsi
addressee	komunikan
testament	surat wasiat
Oceania	Oseania
New Year	Tahun Baru
clipper	alat pemotong
cookie	kue
trivia	remeh
archway	pintu gerbang
vise	ragum
ebonite	ebonit
fire engine	mobil pemadam kebakaran
sociolinguistics	sosiolinguistik
sapphic	lesbian
X chromosome	kromosom x
pedometer	pedometer
Isaiah	Yesaya
Santiago	Gran Santiago
Zambezi	Sungai Zambezi
respondent	responden
toy poodle	pudel mainan
booby	anak
foreign	asing
danger	bahaya
rook	benteng
extend	sambung
Bratislava	Bratislava
mankind	manusia
Aaron	Harun
mislay	kəhilaŋan
defend	bela
seem	kelihatan
revoke	membatalkan
sham	tipu
botch up	merusak
heifer	sapi
crawfish	udang air
adoptive	angkat
theta	bibi
learning	pendidikan
spurn	membenci
bewitch	sihir
cache	mengasamkan
idler	pemalas
tourist	wisatawan
homeless	tuna wisma
fervent	penuh kasih/bernafsu
pinpoint	memaku
polymorphous	melalui banyak tahap
cornflour	mengasinkan/mengawetkan
hamster	hamster
thumbtack	paku payung
trident	trisula
tic-tac-toe	tebak-tebakan dengan angka
joinery	pertukangan kayu
interconnection	interkoneksi
Paleolithic	Paleolitik
pretext	dalih
branch	cabang
toll	tol
hear	dengar
laterally	belakang
behave	melakukan
pocketbook	dompet
crispy	garing
ad	iklan
syrupy	manis
forsake	menelantarkan
replicate	mensimulasikan
owner	pemilik
intersect	salah
transient	sementara
reporter	wartawan
miraculous	ajaib
romantic	romantis
capsicum	capsicum
holiday	hari-libur
mating	kawin
pass out	membagi
doubtlessly	dengan yakin
salesman	penjual
europium	europium
bibliographic	mengenai perpustakaan
conjurer	tukang sulap
oil rig	rig pengeboran
dispenser	penyebar
predation	perampokan
wonton	pangsit
Turing machine	Mesin Turing
larder	lemari makan
ass-kisser	pengampu
Horace	Horace
attrition	aberasi
hydrogen bond	ikatan hidrogen
terror	kengerian
funny	lucu
produce	menghasilkan
erythrocyte	eritrosit
synagogue	sinagoga
decease	meninggal
Greater Antilles	Haiti
Helsinki	Helsinki
dropsy	jaringan
aerospace	langit
deny	menyangkal
taper	manipulatip
ruffle	mengocok
take after	meniru
dude	bung
excursion	perjalanan
Ob	Ob
sane	sehat
Abkhazia	Abkhazia
typically	biasanya
pulchritude	kecantikan
Cayman Islands	Kepulauan Cayman
rumple	mengganggu
pineapple	nanas
infiltration	penyusupan/perembesan
egalitarian	tanpa perbedaan golongan
bandwagon	pendukung
coefficient	koefisien
conceit	rasa angkuh
soda water	limun
literally	kata demi kata
mole cricket	anjing tanah
golf club	kelab
Bursa	Brusa
Mephistopheles	Mephistopheles
electrophoresis	elektroforesis
trematode	trematoda
Shetland	Shetland
hexahedron	heksahedron
Antwerp	Antwerpen
tremendous	hebat
farewell	selamat jalan
spill	tumpah
fat	gemuk
sponge	spons
Corsica	Korsika
gash	luka
dare	berani
seed	benih
Democratic Republic of the Congo	Republik Demokratik Kongo
West Bank	Tepi Barat
Orient	Timur
bimbo	wanita
connectedness	hubungan
starch	menajin
debunk	membongkar
tenacity	kengototan
rostrum	mimbar
fecundate	menyuburkan
putty	dempul
seppuku	harakiri
articulatory	berkenaan dengan fonologi
gladden	menggembirakan
aridity	kekeringan
vulgarity	kekasaran/kegemukan/ketebalan
amusement park	tempat pesiar
Brighton	Brighton
coincident	serentak
cover version	daur ulang
Yale	Universitas Yale
Calliope	Kalliope
rational number	bilangan rasional
salt	garam
hammer	palu
moderately	sedang
liquidity	likuiditas
bias	dukung
falcon	elang
devotion	kasih
dominant	lazim
lefty	kiri
magazine	majalah
muggy	lembap
destruct	makan
invent	menciptakan
overpower	mengatasi
inexpensive	murah
pope	paus
behaviorism	perilaku
interpretation	cerita
pointlessly	cuma-cuma
surveil	ikut
liquidation	penghapusan
swimmer	perenang
latex	getah
Christ	Kristus
celeriac	seledri
contradiction in terms	penyangkalan
sinlessness	kesucian
piety	kesalehan
imaginable	dapat dibayangkan
intransitive verb	kata kerja intransitif
respiratory tract	pangkal tenggorokan
parchment	perkamen
consummation	penyempurnaan
paradisiacal	firdausi
San Salvador	San Salvador
carotene	karotena
praise	puji
perhaps	mungkin
daemon	siluman
monster	hantu
daylight	siang
doorway	ambang
car	mobil
pine	pinus
proper noun	nama
flea market	pasar loak
forever	selamanya
binoculars	teropong
vigorous	aktif
statue	patung
manuscript	naskah
fraternity	asosiasi
zinc	seng
embarrassing	sukar
integration	pengintegrasian
pollen	serbuk
oscillatory	oscillatory
corset	korset
black tie	hubungan pertalian
peephole	lobang pengintaian
polo shirt	polo
rationalism	rasionalisme
blue cheese	keju biru
thymus	golongan kecil
one-sided	unilateral
liquidizer	blender
soliloquy	monolog
AA	Alcoholics Anonymous
Umbria	Umbria
platelet	platelet
tax-free	bebas pajak
count	hitung
in any event	bagaimanapun juga
ardent	bersinar
Damascus	Damaskus
psyche	ide
camouflage	kamuflase
chandelier	kandil
sump	lubang
brace	menyangga
strangle	remas
balk	spar
thug	komplot
umbrella	payung
detachment	detasemen
fire department	pemadam kebakaran
dislocate	memindahkan
seriously	dengan sungguh-sungguh
self-assured	pasti
surreptitious	sulit
bandy	berkaki bengkok
given name	nama panggilan
oesophagus	esofagus
secondary school	sekolah menengah
hinny	bagal
riverbank	tepi sungai
ketonuria	kelaparan
ruthenium	rutenium
feudal	feodal
suburban	di pinggiran kota
transatlantic	melintasi samodera atlantik
perfectionism	paham tentang kesempurnaan
instability	kejasmanian
protectorate	daerah perlindungan
extraterrestrial	ruang angkasa
Bangkok	Bangkok
Garonne	Garonne
Frigg	Frigg
hectogram	hektogram
online	daring
reliable	Reliabel
numeric	klasifikasi
erstwhile	dahulu
chuck out	mengusir
float	mengapung
share	bagi
glisten	bersinar
sorrel	duit
fail	gagal
recognise	kenal
checker	mencocokkan
salutation	puji-pujian
northeast	timur laut
Yalta	Yalta
amulet	jimat
storeroom	gudang
crouch	jongkok
beak	paruh
Laotian	Lao
mythological	berhubungan dengan mitologi
attendance	kedatangan
apathy	sikap acuh tak acuh
woe	ketidakbahagiaan
Maundy Thursday	Kamis Putih
dissection	pembedahan
bouillon	kaldu
lapis lazuli	lazuardi
nosology	nosologi
smoothie	pemikat
Nicholas	Nikolas
spontaneous generation	abiogenesis
epistaxis	hidung berdarah
lipid	lipid
grand duchy	keharyapatihan
arteriosclerosis	aterosklerosis
Vietnamese	Vietnam
are	are
organize	mengatur
narrate	cerita
prate	berkicau
rot	memburuk
Czech Republic	Republik Cheska
posture	sikap
contact	menghubungi
perpendicular	cacak
conceal	menyembunyikan
adhere	melekat
Peru	Peru
bowel	usus
summary	ringkas
briefly	sementara
stave	balok
cooker	dapur
colorfast	kekal
debauch	berisik
sputter	memanjat
tuft	jambul
memento	kenang-kenangan
thimble	penggantung
walkway	jalan setapak
hypnosis	hipnosis
carbonic	didapatkan dari asam arang
dictatorial	seperti diktator
electrician	tukang listrik
housewife	ibu rumah tangga
old hand	veteran
condominium	kondominium
narcissism	narsisme
collectivism	kolektivisme
troth	pertunangan
bailiff	juru sita
nitrate	nitrat
reply	balas
lead	timbal
vestal	bersih
lagoon	danau
consort	istri
irradiation	jalur
candlestick	kandil
repulsion	kejijikan
predominant	utama
black hole	lubang hitam
caper	meloncat
decimate	membunuh
engineer	insinyur
cannon	meriam
sharpness	tajam
gangway	titian
reminder	peringatan
codification	undang-undang
gormless	kurang pengalaman
disobedience	gagal memenuhi sesuatu
morning star	bintang siang
circumcise	sunat
Romance	Roman
clerical	pekerjaan klerk
rapeseed oil	minyak lobak
euphemism	eufemisme
cense	menyanjung
neuron	neuron
Lodz	Łódź
Epicurus	Epicurus
magnetic moment	momen magnetik
hyponymy	hiponim
ore	bijih
esophagitis	esofagitis
peak	puncak
progenitor	ayah
frozen	beku
elder	ketua
kingfisher	raja-udang
bunny girl	kelinci
nationality	kebangsaan
wrath	kemarahan
GNP	produk domestik bruto
referendum	referendum
noontide	tengah hari
chocolate truffle	cendawan
Marche	Marche
mesa	meja
mull over	memikir
precedence	utama
Zulu	Zulu
Avestan	Avesta
petrol station	SPBU
seaplane	kapal terbang
tenth	kesepuluh
posy	karangan
majesty	martabat
umbilical	tali pusat
sexually transmitted disease	penyakit menular seksual
tawny	remang-remang
binocular	binokuler
myope	rabun jauh
motive power	daya penggerak
orthopedist	ahli bedah tulang
retail	eceran
she-devil	lemari baju
hermitage	pertapaan
manifesto	manifesto
sultanate	kesultanan
Mayenne	Mayenne
Picardy	Picardie
quintal	kuintal
crustacean	krustasea
Angola	Angola
fortress	bénténg
horrible	mampus
natural gas	gas alam
variety	jenis
sole	sol
January	januari
Kathmandu	Kathmandu
roach	kecoa
forget	lupa
cough up	meludah
nauseous	mual
motivation	motivasi
conducive	kondusif
lucky	pemujur
artillery	artileri
amaryllis	bakung
skin	kulit
mistrust	kecurigaan
Neptune	Neptunus
caller	tamu
indulgent	memanjakan
gullet	tenggorokan
proxy	yang diberi kuasa
success	keberhasilan
genital	aurat
procedural	prosedur
ringgit	ringgit
lithographic	mengenai ukiranbatu
medalist	pengumpul medali dan coin
pacifist	pecinta damai
wage earner	laki-laki pekerja
Soviet	Soviet
hamadryad	Hamadryad
Aztec	Aztek
carbonate	karbonat
Av	Ab
strict	bengis
git	orang bodoh
chair	kursi
reflect	memikir
hesitate	ragu
dandelion	bunga
crumble	busuk
mushy	lembek
coarse-grained	kasar
optic	mata
fuse	sekring
testimony	kesaksian
Tongan	Tonga
taxation	bea
common bean	buncis
maestro	pakar
orgy	pesta pora
demilitarize	mendemiliterisasi
egoism	egoisme
iodine	yodium
cordon	medali
plastic	plastik
Teutonic	belanda
diachronic	historis
polonium	polonium
aggrieve	menyedihkan
pubic	berkenaan dengan pinggang
speed of light	kelajuan cahaya
taffeta	kain taf
Christmas card	kartu Natal
rube	orang kampung
Belgian	Belgium
lexeme	leksem
drift	arti
parental	berkenaan dengan orangtua
complete	lengkap
synodic month	bulan
rural	pedesaan
Dubai	Dubai
centipede	lipan
counterpart	tara
powerless	lemah
disk	roda
incarnate	mengejawantahkan
coloring	warna
deprecate	bantah
hardihood	berani
abort	gagal
massage	urut
pill	pil
folklore	dongeng-dongeng
astronomical	galaktic
asthmatic	asma
cobbler	tukang sepatu
valve	katup
scalp	menggunduli
contempt	caci maki
foreword	prakata
protein	protein
tetchy	jengkel
leisure	senggang
statistical	statistik
combatant	tukang kelahi
petal	daun bunga
video game	video game
physical chemistry	kimia fisik
quenching	pemadaman
ZIP code	Kodepos
fruit fly	lalat kuning
day care center	tempat penitipan anak
slot machine	mesin slot
gizmo	anu
aberrant	aneh
find	menemukan
suitable	berguna
inclement	buruk
theme	topik
red-hot	hangat
tease	ejek
sale	penjualan
pity	kasihan
covey	kawan
Caspian Sea	Laut Kaspia
augment	membagi
driver	sopir
private	prajurit
adenosine triphosphate	adenosin trifosfat
black eye	bencana
occupant	penduduk
consumer	konsumen
plaster cast	pasta keras
bromide	basa-basi
Herod	Herodes
ersatz	khayali
refractory	tidak ingin
cargo hold	palka
liniment	obat gosok
petrology	petrologi
Daugavpils	Daugavpils
Chicken Little	Chicken Little
anthracite	antrasit
asocial	tunasosial
Aussie	Australia
slam	banting
play	main
control	kendali
chapel	kapel
due	hak
ownership	milik
dip	celup
meagre	kekurangan
Mali	Mali
scram	usir
French Republic	Republik Perancis
transience	singkat
tuberculosis	tuberkulosa
herd	gembalakan
marquee	pavilyun
diametrical	berlawanan
reproductive	reproduktif
baggy	longgar
pessimistic	pesimistis
radiation sickness	radiasi
chlorine	klor
manganese	mangan
squiggly	berombak/keriting
idealize	mengidealkan
unattainable	tak dapat diperoleh
radiogram	gambar hasil sinar x
countersign	kata sandi
assembler	asembler
sandwich	roti lapis
breathless	terengah-engah
Molotov cocktail	Bom Molotov
Jalalabad	Jalalabad
Somerset	Somerset
Draco	Draco
logger	belandong
orthoclase	ortoklas
middle	tengah
trace	bakat
sulfur	belerang
hie	berlari
take root	diam
ebony	kayu hitam
belt	ikat pinggang
downy	pakaian dalam dari wool
savage	biadab
postiche	palsu
patient	sabar
girder	balok
methodology	metodologi
encouragement	dukungan
serf	hamba
marsh	rawa
Set	peti
Almighty	Tuhan
tarsus	pergelangan kaki
chicken leg	kaki ayam
gee	kok
shareholder	pemegang saham
scorpionfish	ikan karang
dubnium	dubnium
adsorption	penjerapan
fire extinguisher	pemadam api
frivolity	kesembronoan
incorporeal	niskala
refection	makanan ringan
antiemetic	antimuntah
ballast	pemberat
phagocyte	fagosit
listener	pendengar
phytochemical	fitokimia
silhouette	siluet
needle	jarum
Honduras	Honduras
publicity	iklan
highway	jalan raya
pump	pompa
tumble	membongkar
primitive	primitif
obstinate	berani
covetous	ingin memiliki sembarang
pull off	mengatur
admire	menghargai
prince	pangeran
merciful	sabar
lost cause	usaha
celestial sphere	bola langit
Bishkek	Bishkek
technologist	teknolog
experienced	berpengalaman
interior decoration	hiasan
rabbit warren	padat
grammar	tata bahasa
vibrate	bergetar
evolution	evolusi
simpleton	orang bodoh
landing	dataran tinggi
handbook	buku petunjuk
ineluctable	tidak dapat bertahan
programming	memprogram
passenger ship	kapal pesiar
electromagnet	elektromagnet
monocle	monocle
bacteriology	bakteriologi
holding company	perusahaan induk
adrenal gland	adrenal
Ahriman	Ahriman
by and by	akhirnya
obstreperous	aneh
enterprise	badan usaha
beard	janggut
currently	sekarang
oversight	kekeliruan
interdict	melarang
limit	batas
celebrate	merayakan
experimentation	percobaan
fecal matter	tahi
composition	komposisi
pharmacy	apotek
asthma	asma
thorny	berduri
British Virgin Islands	Kepulauan Virgin Inggris
comma	koma
New Orleans	New Orleans
habiliment	pakaian
reformation	reformasi
figurine	patung kecil
landlord	tuan rumah
shimmer	bercahaya
transistor	transistor
left-handed	kidal
subversive	subversif
crucible	tempat melebur logam
voting booth	kotak suara
syntagma	frase
mutation	mutasi
benefactress	penolong wanita
Confucius	Kong Hu Cu
Latvian	Latvia
flail	pengirik
flag	bendera
genuflect	berlutut
fancy	menghargai
whopping	besar
Persia	Iran
cobber	kawan
antipathy	kebencian
delay	tangguh
linger	berkeluyuran/semaunya
litre	liter
directly	langsung
viands	bahan makanan yang terpilih
foreshadow	meramal
president	presiden
grasshopper	belalang
dismember	membagi
corral	kandang
television channel	saluran
drumstick	lidi pemukul tambur
despot	penguasa mutlak
enchantress	wanita genit
admiration	keheranan
end user	pemakai akhir
concentration camp	kamp konsentrasi
bifurcation	pencabangan dua
common sense	akal sehat
septum	septum
la	la
Hebrews	Bani Israil
Connecticut	Connecticut
Agni	Agni
mammography	mammografi
grape	anggur
whatsoever	apapun juga
lower	merendahkan
benediction	berkah
sack	karung
cinema	bioskop
dig	gali
camelopard	jerapah
woodwind instrument	instrumen woodwind
Faroe Islands	Kepulauan Faroe
cave in	memberi
improve	memperbaiki
foolhardy	berani
melange	campuran
lounge	ruang duduk
undoubtedly	tentu saja
train station	stasiun
adulteration	pemalsuan
extravagance	kemewahan
fixation	obsesi
mentally	mental
doze off	rontok
conspicuously	sungguh
nape	tengkuk
woof	menyalak
disappointing	membuat frustasi
acclimatization	penyesuaian diri
nuclear reaction	reaksi nuklir
ashtray	asbak
axon	akson
penmanship	kaligrafi
semivowel	huruf atau bunyi semi vokal
town planning	rencana pembangunan kota
Lake Michigan	Danau Besar
quasar	sumber gelombang jauh
Scandinavian	Scandinavia
denominator	penyebut
race	lomba
racial	rasial
head of household	tuan rumah
imprint	bekas
set out	memasang permanen
chaffer	berbicara atau berkunjung tidak resmi
Dresden	Dresden
faithfulness	kesetiaan
bring forward	meminjamkan
hypothecate	mengadakan hipotesa
knitting	merajut
version	terjemahan
lioness	singa betina
offal	jeroan
shackle	gelang
walking	jalan kaki
manatee	lembu laut
Umbundu	Umbundu
pixel	piksel
participant	pemain
quinine	kina
gourd	labu
eclectic	heterogen
intuitive	bawaan
organic	senyawa organik
prepositional	berpreposisi
prestidigitator	pemain sulap
levitation	pengapungan di udara
master key	kunci induk
Maputo	Maputo
forearm	mempersenjatai
doxology	doksologi
grouper	kerapu
Aarhus	Aarhus
Tyrol	Tirol
Cleveland	Cleveland
blindfold	penutup mata
pyroligneous acid	cuka kayu
pile	tumpuk
hark	mendengar
village	kampung
calm down	menenangkan
dictionary	kamus
beau	penggungat/peminang
litigation	perkara
stockpile	membawa
scrounge	menumpang hidup
gross domestic product	produk domestik bruto
hardly	dengan tangkas
shoe	sepatu
betimes	segera
jumble	bercampur
ashen	pucat
biscuit	kue
brag	membual
cafeteria	kafetaria
juicer	pemabuk
amends	pampasan
disconnected	pisah
inmost	paling dalam
americium	amerisium
ruminant	ruminansia
burka	burqa
solubility	sifat dapat dilarutkan
inexperience	kekurangpengalaman
front crawl	gaya bebas
black tea	teh hitam
bulbourethral gland	Kelenjar Cowper
Mithra	Mithra
Antichrist	Antichrist
dysgraphia	agrafia
Adelie penguin	Penguin Adélie
major	mayor
bitumen	aspal
genetic	baka
assist	bantu
very	sangat
generate	membikin
jingle	bunyi
claim	gugat
guzzle	memakan
shorten	pendekkan
manicure	merawat
poet	penyair
knave	kartu jack
tributary	anak sungai
educational	asuh
invert	menghidupkan kembali
superannuated	kuno
Old French	Prancis Kuno
Zhuang	Zhuang
malediction	kutuk
gloat	riang
isometric	isometrik
militiaman	anggota milisi
epilogue	kesudahan
acrostic	sanjak tersusun
smelt	meleburkan
gilding	saduran
Abel	Habil
carbon tetrachloride	karbon tetraklorida
existent	ada
ordination	aturan
fix	atur
false	salah
notice	memperhatikan
tasteful	menarik
panhandle	mengemis
encephalon	otak
outlaw	begal
arrangement	aransemen
repent	tobat
Czechoslovakia	Cekoslowakia
computation	perhitungan
Arawak	Arawak
seam	pinggiran
maim	perusakan
freckle	bintik
roundish	gendut
munch	makan gula atau gula lempeng tanpa air
unpopular	tak disukai
quintuple	lima kali lipat
brain stem	batang ogak
hydrology	hidrologi
literacy	melek aksara
epoxy resin	epoksi
ruble	rubel
leptospirosis	leptospirosis
surfer	peselancar
anatomy	anatomi
acquire	membeli
suppose	sangka
sensitive	peka
Russia	Rusia
rage	amarah
Granada	Granada
already	sudah
cockroach	kecoa
sky	langit
impeccable	sempurna
suggestion	saran
laughter	gelak
apparel	pakaian
party wall	halangan
topsy-turvy	kacau
sunrise	matahari terbit
butler	pelayan
disclaimer	sanggahan
separated	terpisah
advancement	kemajuan
factotum	tukang
migraine	migrain
guardsman	penjaga
clavicle	tulang selangka
loader	kuli
reputable	tulus/ berdiri tegak
centrifugal force	gaya sentrifugal
paranoiac	orang gila karena ketakutan
pedant	formalis
unlikelihood	hal yang tidak mungkin
sneer	caci maki
lollipop	permen loli
encase	membubuh
mononucleosis	mono
crop	hasil
entail	bermaksud
visiting card	kartu nama
antipasto	keju
natal	lahir
take part	ambil bagian
marshal	marsekal
shrink	kecut
cork	sumbat
Munich	München
demonstration	demonstrasi
vacuum	hampa udara
motorcycle	sepeda motor
cowardice	kepengecutan
Verona	Verona
chordate	vertebrata
decorum	kesopanan
consciousness	kesadaran
mutiny	pemberontakan/huru-hara
successor	penerus
glue	lem
cavalry	kavaleri
wavy	ikal
incantation	pantun
tropics	tropis
masochistic	berkenaan dengan masokis
dichroism	dikroisme
bract	daun kecil pada bunga
justification	tanpa alasan
immunology	imunologi
costing	penetapan biaya
second sight	clairvoyance
sitar	sitar
acolyte	akolit
landline	telepon rumah
light	cahaya
trend	kecenderungan
damp	basah
bleak	muram
flunk	menyita perbekalan
delight	kegembiraan
extra	sisa
dine	santap
curdle	membekukan
emasculate	memotong
guarantee	jaminan
grope	sentuh
beach	pantai
scamp	penjahat
analogy	perbandingan
concordat	perjanjian
carbon black	jelaga
mizzle	pergi segera
penthouse	serambi
emancipate	membebaskan
