explanation	yorum
cult	tarikat
nudity	çıplaklık
buzzard	şahin
matrix	matris
usable	kullanılır
ferryboat	araba vapuru
butterfly	kelebek
potluck	hazır bulunan yemek
bipartite	iki bölümlü
warring	kavgacı
biddy	tavuk
mouflon	muflon
loafer	tembel
salver	tepsi
videocassette	video kaset
pyre	yanacak şey yığını
framer	yaratıcı
postprandial	yemek sonrası
venereal disease	zührevi hastalık
Strait of Gibraltar	Cebelitarık Boğazı
nonlinear	doğrusal olmuyan
hyphenation	sözcük kesme
procreation	üretme
antibacterial	antibakteriyel
breast cancer	meme kanseri
Karelian	Kareli
assail	saldırmak
evoke	uyandırmak aklına getirmek
frail	zayıf
stress	vurgu
Augustus	ağustos
fatuous	ahmak
harlequin	palyaço
operable	ameliyat edilebilir
embroil	anlaşmazlık
weft	argaç
beekeeping	arıcılık
plagiarism	aşırma
naughty	yaramaz
waiting room	bekleme odası
campion	bir çeşit karanfil
biopsy	biyopsi
shoal	sığlık
cellular	cep telefonu
commutator	komütatör
cower	çömelmek
whipping	dayak
secondhand	dolaylı
hawkweed	farekulağı
seethe	fışkırmak
formaldehyde	formaldehit
pillory	hor görmek
geology	jeoloji
guinea pig	kobay
probabilistic	olasılı
bedsore	yatak yarası
common shrew	yaygın sivri fare
Hamas	Hamas
natural selection	doğal seleksiyon
telemarketing	telepazarlama
armadillo	armadillo
Evenki	Evenki dili
Slav	Slav
nominee	aday
volume	hacim
mandible	altçene
old	eski
dreary	sıkıcı kasvetli
sizeable	ayarlanabilir
unlimited	süresiz
throttle	gaz
feeding bottle	biberon
life	hayat
vapid	bön
tarsier	cadı maki
bay	koy
democratic	demokratik
hind	dişi geyik
hydrofoil	gemi kayağı
caustic	iğneli
fur	kürk
bill of exchange	kambiyo senedi
hookworm	kancalı kurt
mooring	kesinti
computerize	kompüter ile hesaplamak
audibly	sesli
top hat	silindir şapka
baptism	vaftiz
Goa	Goa
International System of Units	SI
sedge warbler	kındıra kamışçını
Acheron	Acheron
reproducible	tekrarlanabilir
metalanguage	üstdil
layman	laik kimse
physically	tek vücut halinde
probation	deneme süresi gözaltı
abscissa	apsis
apex	zirve
friendship	arkadaşlık
fallacious	yanlış
exasperate	kızdırmak
sustain	muhafaza etmek
intransigent	tavizsiz
inflammable	yanıcı
reproduce	çoğaltmak
conversation	sohbet
wreath	çelenk
grassy	çimenli
unclothed	çıplak
circular	dolambaçlı
tact	taktik
plinth	duvar çıkıntısı
distraction	eğlence
regionalism	eyaletlere bölme taraftarlığı
belch	geğirmek
pantry	kiler
porn	pornografi
sunlight	güneş ışığı
blasphemy	hürmetsizlik
spelt	kaplıca buğday
undisputed	karşı gelinmeyen
self-restraint	kendine hakim olma
colonial	koloni halinde yaşayan
sheepherder	koyun çobanı
whippersnapper	küçük çocuk
mildew	küf
radium	radyum
anechoic	yankısız
Montevideo	Montevideo
Strait of Hormuz	Hürmüz Boğazı
Hebe	Hebe
methionine	metiyonin
violoncellist	viyolonselist
blue jay	mavi alakarga
Shenyang	Shenyang
Urdu	Urduca
yaw	çevirmek
empathy	empati
high court	yargıtay
buxom	dolgun
book	kitap
trim	süslemek
rut	tekerlek izi
adieu	elveda
assimilation	asimilasyon
gunner	topçu
limited	az
tabby	benekli
amplitude	genişlik
impunity	cezasızlık
turnover	devir
ladybird	uğur böceği
harbinger	haberci
equatorial	ekvatoryal
field of view	görüş alanı
amblyopia	göz donukluğu hastalığı
fragrant	rayihalı
sigmoid	σ harfi şeklindeki
quartermaster	iaşe subayı
thong	sırım
rumen	işkembe
croquet	kroke
Jerusalem	Kudüs
vocational school	meslek okulu
radish	turp
long-haired	uzun saçlı
Nanjing	Nankin
Bigfoot	yeti
erogenous zone	erojen bölge
bellboy	belboy
Armenia	Ermenistan
gather	toplamak
whipping boy	abalı
acerbate	acılaştırmak
onerous	ağır
friend	arkadaş
appurtenant	ait
witness	tanık
aim	amaç
assume	sanmak
rugged	arızalı
pear	armut
drawbridge	asma köprü
consanguinity	aynı soydan gelme
loin	bel
cranny	yarık
nevertheless	buna rağmen
macrocephaly	büyük başlılık
stocking	çorap
apostate	mürtet
soothsayer	falcı
unlawful	gayri kanuni
lumber	kereste
subway	metro
windowpane	pencere camı
Vistula	Vistül
portraitist	portreci
gruel	sulu yulaf lapası
Rocky Mountains	Rocky Dağları
Rajab	Recep
Lake Superior	Superior Gölü
HIV	HIV
paramagnetism	paramanyetizma
legibility	okunaklılık
repatriation	ülkesine geri dönme
Saudi	Suudi
become	olmak
father-in-law	kaynata
burst	patlatmak
offend	gücendirmek
verdure	yeşillik
pour	dökmek
comedian	komedyen
accept	kabul etmek
auriferous	altınlı
anamnesis	hatırlama
creel	balık sepeti
altruism	diğerkâmlık
epidermis	epiderm
vacate	bırakmak
partial	kısmi
plug	fiş
hogshead	büyük fıçı
resilience	elastikiyet
pubis	kasık kemiği
innumerable	sayısız
insensitive	duygusuz
perambulate	dolaşmak
hegemony	hegemonya
Gambia	Gambiya
pant	soluma
mistreat	incitmek
masquerade	karnaval
oceanology	oşinografi
planimeter	planimetre
Tonga	Tonga
Tuscany	Toskana
Judaism	Musevilik
Nassau	Nassau
self-sufficient	kendi kendine yeterli
spit	tükürmek
little	küçük
end	son
contend	uğraşmak
Pashto	Peştuca
parent	ebeveyn
thanksgiving	alenen Allaha şükretme
parse	ayrıştırmak
French bean	barbunya
foremast	baş direği
nutation	üğrüm
haulage	taşıma
cream	kaymak
hand out	dağıtmak
strategic	stratejik
fundamentally	esasında
Fiji	Fiji
photocopy	fotokopi
rosy	pembe
moisten	ıslanmak
blowhard	kendini beğenmiş kimse
whereabouts	konum
toadstool	mantar
mongolism	Mongolizm
potassium	potasyum
Jordan	Ürdün
tailoring	terzilik
histogram	çubuklu çizge
organizational	örgütsel
meal ticket	ekmek parası
hot chocolate	sıcak çikolata
sedately	sakince
Richter scale	Richter ölçeği
banana peel	muz kabuğu
cranky	aksi
disinterest	alâkasızlık
treason	ihanet
mainland	kara
exclusively	ancak
jerky	aptallık
damage	zarar
incombustible	yanmaz
spud	patates
commence	başlamak
imply	belirtmek
agronomy	tarım bilimi
bison	bizon
provocative	cazip
scruff	ense
dong	penis
lunge	hamle
seismograph	sismograf
childbirth	doğum
economy	ekonomi
Moor	Fasa ait
glockenspiel	glokenspil
repartee	hazırcevap
uxoricide	karısını öldürme
rhizome	rizom
privet	kurtbağrı
lactose	laktoz
Samoa	Samoa
debug	hata ayıklama
LCD	LCD
local area network	yerel ağ
Thames	Thames Nehri
Inner Mongolia	İç Moğolistan
Papal States	Papalık Devleti
Tartu	Tartu
batik	batik
clepsydra	su saati
unconstructive	yardımcı olmayan
apostolic	apostoller ile ilgili
modify	değiştirmek
harmonize	uymak
acupuncture	akupunktur
fleece	yünlü post
beat	dövmek
subclass	altsınıf
anatomist	anatomist
meal	yemek
depart	kalkmak
Charleroi	Belçika
finite	mahdut
flake	pul
sonny	oğlum
polyandry	çok kocalılık
ferric	demire ait
experiment	deney
carry on	devam etmek
oppose	direnmek engel olmak
taut	düzenli
whisper	fısıltı
transit	geçiş
colloquial	günlük dil
pogrom	pogrom
global warming	küresel ısınma
earthworm	yer solucanı
vocalist	şarkıcı
black grouse	orman horozu
sultana	çekirdeksiz üzüm
conspirator	suikastçı
bearded vulture	sakallı akbaba
bombing	bombalama
Dodoma	Dodoma
Puebla	Puebla
Italic	Yatık
musical box	müzik kutusu
carillon	çeşitli tonlarda ses veren çanlar
bachelor party	bekarlığa veda partisi
superclass	üstsınıf
affliction	dert
meteor	meteor
inflammation	yangı
draftee	askere çağrılan kimse
erect	kurmak
bridle	dizgin
groundskeeper	bahçıvan
cere	balmumlu beze sarmak
transform	dönüştürmek
referee	hakem
bombshell	bomba mermisi
Britain	Britanya
sitting	celse
chirp	cıvıldamak
confident	emin güvenli
essay	deneme
electric	elektrikli
placenta	son
philosophically	filozofça
accelerator	hızlandırıcı
seafarer	gemici
cloud over	gizlemek
sunglasses	güneş gözlüğü
trauma	travma
lysine	lizin
detrition	molozların aşınması
Punjab	Pencap
oneiromancy	rüya vasıtasıyle falcılık
gunman	tüfekçi
stratosphere	stratosfer
green woodpecker	yeşil ağaçkakan
Gulf of Finland	Finlandiya Körfezi
Ganesha	Ganeşa
wading bird	uzunbacaklılardan kuş
phrase book	sözcük grupları kitabı
awe	huşu
cynicism	sinizm
witty	nükteli
acromion	akromyon
jape	aldatmak
recess	ara
amplify	bollaştırmak
sling	askı
breeze	meltem
depict	resmetmek
quagmire	batak
joystick	oyun çubuğu
parable	mesel
delectation	haz
freezing	buz gibi
subaquatic	denizaltı
aesthetic	estetik
moan	inleme
itinerary	seyahatname
landing strip	iniş pisti
loving	iyilik
ossicle	kemikçik
stationer	kırtasiyeci
shoulder blade	kürek kemiği
magnetite	manyetit
quattrocento	on beşinci yüzyıl
San Marino	San Marino
Socrates	Sokrates
technician	teknisyen
cosy	rahat keyifli
absorbance	soğurma
surge protector	aşırı gerilim koruyucu
biannual	yılda iki defa olan
kepi	fransız asker kasketi
isolationism	soyutlanma politikası
checklist	doğrulama listesi
toluene	toluen
abduct	adam kaçırmak
fully	tamamen
ritual	ayin
anxious	endişeli
documentary	belgesel
cogitate	düşünmek
exterminate	kökünü kurutmak
determination	tespit
recapitulate	berelemek
distort	bükmek bozmak
kitchen garden	bostan
today	bugün
exact	doğru
fay	peri
pneumatic	pnömatik
comptroller	denetleyici
reinvigorate	desteklemek
shred	dilim
connoisseur	erbap
electroscope	elektroskop
fiftieth	ellinci
pulp	et
well-being	gönenç
evil eye	nazar
additive	katkı
structural	yapısal
quay	rıhtım
custom-made	ısmarlama yapılmış
bloodshot	kanlı
stork	leylek
salacious	şehvetli
alabaster	kaymaktaşı
thirteenth	on üçüncü
anaconda	anakonda
Virgin Islands	Virgin Adaları
Liechtensteiner	Lihtenştaynlı
obstetrician	doğum uzmanı
death warrant	idam cezası
human	insan
footstep	ayak izi
immoral	ahlaksız
finger	parmak
formless	biçimsiz
bray	anırma
fee	ücret
billiards	bilardo
hooter	düdük
illiterate	okuma yazma bilmeyen
Gehenna	Cehennem
putrefaction	çürüme
ravine	kanyon
grenade	el bombası
gardenia	gardenya
passport	pasaport
South Africa	Güney Afrika
Odin	Odin
ionize	iyonize etmek
whittle	kesmek
London	Londra
autopsy	otopsi
redwood	sekoya
tidy up	toplamak
trolley	tramvay
raincoat	yağmurluk
Gheg	Kosova
standard deviation	standart sapma
rectifier	doğrultucu
semantic	anlambilimsel
martini	martini
Angle	Açı
Freemason	mason
sputnik	sputnik
connective tissue	bağ doku
quake	zelzele
alfresco	açık hava
goof	hata
performing arts	sahne sanatları
aniseed	anason
soar	yükselmek
demand	talep
insurrection	ayaklanma
astronaut	astronot
particular	ayrıntılı
threaten	gözünü korkutmak
intercession	şefaat
United Kingdom	Birleşik Krallık
killing	katil
towline	çekme halatı
infliction	ceza
universal	evrensel
potpourri	müntahabat
conquest	zapt
subterranean	gizli
emigrate	göçmek
visualise	gözünde canlandırmak
havoc	kaos
amenity	tatlılık
jackdaw	küçük karga
washstand	lavabo
curtain	perde
strategy	strateji
atomizer	püskürteç
hygienic	sağlık
serum	serum
bedtime	yatma vakti
Pontus	Pontus
buzzer	vızlayıcı
fall	düşmek
Tajik	Tacikçe
guide	rehber
thing	şey
excuse	bahane
archaic	antik
transplant	nakletme
unction	aşırı tatlı dillilik
equine	at
circumvent	atlatmak
azimuth	azimut
bed	yatak
shin	incik
tincture	hafif renk
headland	burun
icehouse	buz deposu
sexual intercourse	cinsel ilişki
religious	dindar
clutter	kargaşalık
weave	dokumak
stealthily	el altından
manly	erkek
fertilizer	gübre
extirpate	yok etmek
karma	kader
waltz	vals
Ostrogoth	Ostrogot
potassium hydroxide	potasyum hidroksit
lanky	sırık gibi
hippopotamus	su aygırı
transmitter	verici
Zimbabwe	Zimbabve
Friulian	Friulian
Birmingham	Birmingham
civil engineering	inşaat mühendisliği
Vancouver	Vancouver
liquid nitrogen	sıvı azot
chicken coop	tavuk kümesi
hedonistic	zevk ve sefaya düşkün
berserk	berserk
bleach	çamaşır suyu
pickle	turşu
study	incelemek
subvert	bozmak
Anglo-Saxon	Anglosakson
outcry	bağırış
faith	din
megaton	büyükton
incubation	kuluçkaya yatma
ramrod	çubuk
veined	damarlı
seaward	denize doğru
paranormal	paranormal
cast iron	dökme demir
ninth	dokuzuncu
cultural	kültürel
stalactite	sarkıt
goblet	kadeh
cupule	kadehçik
ilium	kalça kemiği
cubic	kübik
patriotism	yurtseverlik
radar	radar
negro	zenci
conveyor	taşıyıcı
violist	viyola
Benjamin	Bünyamin
cross-reference	yollama
rugby	ragbi
Lucretius	Lukretius
Paraguayan	Paraguaylı
press conference	basın konferansı
nautilus	notilus
electric field	kıvıl alan
consolidate	birleştirmek sağlamlaştırmak
wonder	mucize
rout	bozgun
blow	esmek
feverfew	koyungözü
scam	dolandırma
pretermit	ara vermek
taillight	arka lamba
drunk	sarhoş
slime	balçık
reap	biçmek
vastness	büyüklük
agonize	can çekişmek
Java	Java
yellow bile	cerahat
fickle	kararsız
puncture	patlak delik
meditation	düşünce
scrawl	el yazısı
equilateral	eşkenar
sender	gönderen
airport	havalimanı
hobnail	kabara
codify	kanun halinde toplamak
blizzard	tipi
hedgehog	kirpi
Luxembourg	Lüksemburg
haddock	mezit balığı
lingua franca	milletlerarası ticari dil
Wicca	Vika
daddy longlegs	Phalangis
Roman	Romalı
tonne	ton
Texas	Teksas
Silicon Valley	Silikon Vadisi
OPEC	OPEC
mortal sin	büyük günah
laughing gas	gülme gazı
gird	çevrelemek
font	yazı tipi
stable	kararlı
pig	domuz
causeless	asılsız
commando	komando
disjoint	ayırmak
stepfather	üvey baba
cascade	basamak
slavery	esaret
cavity	boşluk
bureaucratic	bürokratik
budget	bütçe
resonance	rezonans
perishable	dayanıksız
egalitarianism	eşitlikçilik
socket	priz
driver's license	sürücü belgesi
equator	ekvator
bulwark	istihkâm
swordsman	eskrimci
rebate	indirim
believable	güvenilir
firefighter	itfaiyeci
bobcat	doru vaşak
chromatid	kromatit
congratulate	tebrik etmek
abbey	manastır
eight	sekiz
schmuck	saf kimse
pamper	şımartmak
displacement	yer değiştirme
toponym	yer ismi
random access memory	rasgele erişim belleği
Wolof	Volofça
Middle Irish	Ortaçağ İrlandacası
gerontology	jerontoloji
French kiss	Fransız öpücüğü
acute triangle	dar açılı üçgen
gravy boat	sosluk
Rachel	Rahel
Maltese	Maltaca
dress	elbise
interface	arayüz
barley	arpa
outbreak	patlama
magnificent	fevkalade
trail	pist
championship	şampiyonluk
lightly	hafifçe
voluminous	hacimli
here	burada
pursuant	bu yüzden
maniacal	çılgınca
goat	keçi
emu	Dromi ceius
inability	yetersizlik
triumphal	galip
indignity	hakaret
India	Hindistan
calcification	kireçlenme
constraint	sınırlama
manicurist	manikürcü
lentil	mercimek
archer	okçu
ululate	ötmek
cast away	reddetmek
handler	top nişancısı
leer	yan bakış
Irish Sea	İrlanda Denizi
eugenics	öjenik
Central America	Orta Amerika
due date	son teslim tarihi
purchase order	satınalma siparişi
Abkhaz	Abhazca
kinetic energy	kinetik enerji
Volgograd	Volgograd
telegraphy	telgrafçılık
bustle	acele
endure	çekmek
even	çift
understandable	kavranabilir
avocet	avoset
headlamp	ayna
arrive	gelmek
edict	ferman
reciprocate	tekabül
pluralism	bütünlük gerektirmeyen
veneer	kaplama tahtası
provincial	köylü
anchorage	demirleme
optative	dilek kipi
brisket	döş
common seal	fok
dovetail	geçme
days	gün
treasurer	veznedar
bipedal	iki ayaklı
sheriff	şerif
emphatic	kesin
rickets	raşitizm
orpiment	sarı zırnık
sextant	sekstant
doohickey	şey
Silurian	Silüryen
Trinity	teslis
adulterer	zampara
Odysseus	Odisseas
pituitary gland	hipofiz
triton	trinitrotoluen
commensurable	ölçekdeş
rubber tree	kauçuk ağacı
trichotillomania	trikotillomani
appoint	seçmek
domineer	hükmetmek zorbalık
derive	türemek
inaugurate	başlamak
fasten	bağlamak
fight	savaşmak
pate	akıl
glide	süzülmek
concertina	akordeon
attain	bulmak
borrow	ödünç almak
root beer	kök birası
perineum	perine
intermission	aralık
cerebrum	asıl beyin
military	askerî
fist	yumruk
October	ekim
wage	ücret
savagery	barbarlık
agreeably	bunun gibi
cape	burun
session	oturum
duenna	mürebbiye
council	konsey
meteorite	göktaşı
dough	hamur
civil engineer	inşaat mühendisi
eligibility	nitelik
avatar	avatar
chronological	kronolojik
Cheyenne	Şayen Dili
Genghis Khan	Cengiz Han
annular eclipse	halkalı tutulma
interoperability	birlikte çalışabilirlik
coordination	ayarlama
ordeal	ateşten gömlek
scout	keşfetmek
turpitude	alçaklık
disappoint	üzmek
insinuation	iftira
clemency	şefkat yumuşaklık
survey	anket
nick	araklamak
delve	araştırmak
juniper	ardıç
remainder	kalan
reducible	azaltılır
case	kasa
carry	taşımak
bring up	eğitmek
tee	tişört
writing	yazı
herbicide	bitkileri öIdüren ilâç
forge	bozmak
contagion	salgın
infection	enfeksiyon
pasture	çayır
torus	simit
polynomial	polinom
bricklayer	duvarcı
guitar	gitar
hyperbola	hiperbol
tubercle	kabarcık
craniology	kafabilim
weather forecasting	kehanet
gurnard	kırlangıç
chronic	süreğen
luff	orsa etmek
arugula	roka
liar	yalancı
mossy	yosun kaplı
Wyoming	Wyoming
segmentation	bölütleme
inactivity	başıboşluk
substance abuse	madde bağımlılığı
honest	dürüst
merciless	acımasız
fatigue	yorgunluk
sublime	yüce ulu
Antigua and Barbuda	Antigua ve Barbuda
Asia	Asya
turf	çimen
vitreous	cama benzer
dislodge	ayrılmak
aspect	açılar
metropolitan	metropolit
anticipate	sezmek
scenario	senaryo
temporal	geçici
crucial	buhranlı
route	yol
juicy	sulu
fizz	cızırdamak
devotional	dindar
alumnus	eski öğrenci
usefulness	fayda
table of contents	fihrist
strand	kenar
wound	hasar
myocardium	kalp kası
out of the blue	kazara
cochlea	koklea
fourteenth	on dördüncü
raffia	rafya
alum	şap
freshness	tazelik
twenty-fourth	yirmi dördüncü
werewolf	kurt adam
apheresis	aferisi
Ido	Ido
carpet	kilim
insult	hakaret
conception	fikir
peanut	yer fıstığı
negotiator	temsilci
intermezzo	ara perdesi
moonshine	feray
artificial	yapay
reagent	reaktif
marriage	evlilik
hornless	boynuzsuz
spark plug	buji
all the same	farketmez
ting	çınlamak
ferrous	demirli
Ganges	Ganj
hygroscope	higroskop
macaroni	makarna
edema	ödem
cerebrospinal	omurilik
meson	mezon
Bering Strait	Bering Boğazı
Jack the Ripper	Karındeşen Jack
parsec	parsek
mayoress	belediye başkanı kadın
merlon	mazgallı siper
self-pity	kendine acıma
lemon shark	limon köpek balığı
newton	newton
clapper	çan dili
emitter	yayıcı
rueful	üzgün
hemp	kenevir
stem	sap
check	çek
attack	hücum
allomorph	alomorf
passkey	geçiş anahtarı
spurt	cereyan
erode	aşındırmak
dissociate	ayırmak
coincidental	aynı zamanda olan
egret	balıkçıl
expectancy	bekleme
welcome	hoş geldin
slump	göçmek
hatred	nefret
undercurrent	gizli cereyan
biographical	biyografik
regime	kür
tectonic	tektonik
pince-nez	kelebek gözlü
green-eyed	yeşil gözlü
armchair	koltuk
perestroika	perestroyka
halitosis	pis kokan nefes
recto	sağ taraftaki sayfa
whiskey	viski
sooner	yerine
Tbilisi	Tiflis
Alpine	Alpine
filtration	süzme
crystal lattice	kristal ağı
epididymis	epididimis
idiom	deyim
invade	istila etmek
risible	güleç
expedition	acele sefer gezi
hunt	avlamak
scour	koşmak
bivouac	açık ordugâh
favorite	gözde
loquacity	gevezelik
cook	aşçı
excel	geçmek üstün olmak
collection	koleksiyon
favor	iyilik
Earth	Dünya
indeed	doğrusu
West	batı
counselor	danışman
think tank	beyin takımı
disgust	iğrenme
mode	tarz
boredom	can sıkıntısı
scuffle	kavga
inflection	bükülme
magician	sihirbaz
haystack	saman yığını
rave	çıldırmak
iron	demir
lightweight	ehemmiyetsiz
delectable	nefis
gratify	hoşnut etmek
locative	ismin -de hali
alfalfa	kaba yonca
aforethought	kasıtlı
minuscule	minüskül
soap bubble	sabun köpüğü
milker	sağmal hayvan
question mark	soru işareti
semitone	yarım ton
metadata	üstveri
Tasmanian devil	Tazmanya canavarı
puffin	bayağı deniz papağanı
feminism	feminizm
doorjamb	kapı dikmesi
automatic transmission	otomatik şanzıman
likely	muhtemel
outline	anahat
mediocre	sıradan
amnesia	amnezi
casual	arasıra
facilitation	basitleştirme
morning	sabah
remuneration	maaş
copacetic	birinci sınıf
absent	çekilmek
interior	içerde
prick	yarak
bottleneck	performans sorunu
claimant	davacı
cud	derin derin düşünmek
periodic	periyodik
pedagogic	eğitbilimsel
Hittite	Hititçe
Jonah	Yunus
compatriot	vatandaş
Himalayas	Himalaya Dağları
carpel	karpel
mutually	karşılıklı olarak
mummify	mumyalamak
Christmas tree	Noel ağacı
initiator	başlatıcı
parking space	park yeri
postmaster	patron
postmark	posta damgası
embodiment	şekillenme
Lupus	Kurt
Gaborone	Gaborone
Sevastopol	Sivastopol
beatification	azizlik mertebesine yükseltme
safe sex	güvenli cinsel ilişki
whiteness	aklık
dramatic	acıklı
join	birleştirmek
repel	püskürtmek defetmek
vernacular	konuşma dili
anemone	anemon
drop by	arasından geçmek
intercalary	araya giren
ignition	ateşleme
approach	yaklaşmak
barbarian	barbar
apodictic	belli
adoption	benimseme
paragraph	paragraf
kaput	kırık
soda	gazoz
resignation	istifa
hellebore	çöpleme
youthful	genç görünen
canonical	meşru
satiety	tokluk
fava bean	fasulye
Georgia	Gürcistan
reverent	saygılı
exceptionally	istisnai olarak
raven	kuzgun
eaglet	kartal yavrusu
sarcoma	sarkom
spool	makara
malt	malt
marchioness	markiz
buoy	şamandıra
Acapulco	Acapulco
G clef	sol anahtarı
epidemiology	epidemioloji
head over heels	alel acele
population	nüfus
desktop computer	masaüstü bilgisayar
sassy	arsız
scurf	yara kabuğu
sea	deniz
doll	kukla
childhood	çocukluk
burner	bek
foodstuff	gıda maddesi
finale	bitiş
teaspoon	çay kaşığı
exclude	çıkarmak
rudder	dümen
answerable	eşit
effectivity	etki
Croat	Hırvat
apocalypse	kıyamet
chromatic	kromatik
lowercase	küçük harf
coincide	uymak
psychical	psişik
soundproof	ses geçirmez
dressing room	kadının küçük özel odası
written	yazılı
edible	yenilebilir
Pericles	Perikles
whooper swan	ötücü kuğu
Gulf of Guinea	Gine Körfezi
Luanda	Luanda
angle of reflection	yansıma açısı
Flanders	Flaman Ovası
hang	asılmak
use	kullanmak
Boeotian	ahmak
octopus	ahtapot
echo	yankı
gesso	alçıtaşı
eagle	kartal
mum	anne
modernize	aydınlatmak
tern	sumrugil
Buffalo	bizon
hole	delik
eminence	çıkıntı
Astarte	Astarte
antedate	daha evvel gelmek
virgule	eğri çizgi
syringe	şırınga
hypothesis	hipotez
air pocket	hava deliği
idealism	idealizm
countermand	iptal emri
socialize	kamulaştırma
Canadian	Kanadalı
counterclaim	karşı dava
tangerine	mandalina
suffrage	oy
ovum	yumurta
calfskin	vaketa
greenish	yeşilimsi
zoospore	zoospor
vulnerability	güvenlik açığı
Tamil Nadu	Tamil Nadu
real number	gerçek sayı
languish	gevşemek
whirl	çalkalamak
hereafter	gelecek
propensity	eğilim
alienate	soğutmak
omission	atlama
atomic number	atom numarası
footprint	ayak izi
stilted	çok resmi
admiralty	amirallik
burrow	yuva
once more	gene
cathedral	katedral
hypnotise	büyülemek
flint	çakmaktaşı
ambiance	çevre
dermatologist	dermatolog
dielectric	dielektrik
intonation	tonlama
latest	en son
fructose	fruktoz
retractile	geri alınabilir
ambitious	muhteris
theologian	ilahiyatçı
oxcart	kağnı
thighbone	kalça kemiği
proscription	kovma
tribune	kursu
Macedonia	Makedonya
illogical	mantıksız
pluviometer	yağmurölçer
fly agaric	sinek mantarı
freshly	son zamanlarda
lading	yük
chain reaction	zincirleme tepkime
Assamese	Assamca
Oahu	Oahu
entomology	entomoloji
ciliated	kirpikli
road map	yol haritası
clumsy	hantal
healthy	sağlıklı
engagement	nişan
demonstrative	anlamlı
proficiency	beceri
nadir	nadir
dialysis	diyaliz
cupboard	dolap
primate	maymun
plenitude	bolluk
infinite	hudutsuz
chaste	iffetli
clericalism	bu nüfüsu destekleme
sliver	kıymık
retreat	ölmek
expedience	çıkar
possessed	çılgın
vicissitude	değişim
postgraduate	doktora talebesi
rivet	perçin
break wind	yellenmek
Guyana	Guyana
pellet	saçma
blah	zırva
yttrium	itriyum
transfusion	kan nakli
badness	kötülük
confirmed	kronik
Marseilles	Marsilya
linesman	yan hakem
ground floor	zemin kat
peanut butter	fıstık ezmesi
pepsin	pepsin
reggae	reggae
refractive index	kırılma indisi
romance	aşk macerası
urgent	acil
cosmos	evren
weight	ağırlık
arbitrator	hakem
access	erişim
slur	aşağılama
subpoena	celpname
around	civarında
egest	atmak
handful	avuç dolusu
woodcutter	baltacı
sledgehammer	balyoz
cane	kamış
transgression	günah
Tigris	Dicle
tentacle	dokunaç
swage	dövmek
satisfy	doyurmak
adulterous	evlilik dışı
confessional	ünah çıkartma hücresi
discursive	tutarsız
encomium	methiye
collarbone	köprücük kemiği
Republic of Cuba	Küba Cumhuriyeti
fairground	lunapark
for example	örneğin
eraser	silgi
Suriname	Surinam
archipelago	aral
cress	tere
fiefdom	tımar
eatable	yemeklik
Komi	Komi
Horus	Horus
groundbreaking	ileri görüşlü
deeply	derinden
Argentinian	Arjantinli
cream of tartar	şarap tortusu
pancytopenia	pansitopeni
emergency	acil durum
clear	açık
bole	balçık
abjection	düşürme
blind	kör
double Dutch	anlaşılmaz
appendicitis	apandisit
Auriga	Arabacı
extension	büyütme
suitcase	bavul
graze	otlamak
balance sheet	bilanço
megalopolis	birleşik şehirler
gargle	çalkalamak
traduce	iftira etmek
jut	çıkıntılı şey
fauna	direy
emporium	dükkân
spoke	tekerlek
confidence	inanç
wheelhouse	gemide dümen köşkü
weatherproof	havadan bozulmaz
compliant	itaatkâr
cumin	kimyon
omasum	kırkbayır
collage	kolaj
chronometer	kronometre
kick in	ölmek
porgy	sinarit
drapery	perde
tyrannicide	zalimi öldüren kimse
transvestite	travesti
International Monetary Fund	Uluslararası Para Fonu
Innsbruck	İnnsbruck
Pallas	Marcus Antonius Pallas
Arabian Sea	Umman Denizi
vaginismus	vajinismus
poker face	poker surat
individual	birey
madam	hanımefendi
expand	genişlemek
dirt	dedikodu
weighty	ağır
armpit	koltuk altı
outstanding	tanınmış
rummage	araştırmak
anaphora	anafor
lazy	tembel
ligate	bağlamak
asymmetrical	bakışımsız
bugle	boru
Pacific Ocean	Büyük Okyanus
cutaneous	cildi
urine	idrar
youngster	çocuk
Goofy	Gufi
e-mail	e-posta
prior	önce
admission	salahiyet
sewerage	kanalizasyon
bookstall	kitap sergisi
missionary	misyoner
priestess	rahibe
toucan	tukan
prayer beads	tespih
morello	vişne
sour cherry	vişne
John	Yahya
Black Death	kara ölüm
Liguria	Ligurya
bottle green	şişe yeşili
diacritical mark	aksan işareti
fatty acid	yağ asidi
black box	kara kutu
carnal	ten
crotchet	dörtlük nota
lemon balm	acemotu
reservation	rezervasyon
understandably	pek bedihi olarak
helpless	aciz
unspeakable	tarifsiz
disprove	aksini ispat etmek
site	yer
cover	kapak
vesicle	kabarcık
whirlpool	anafor
disgusting	iğrenç
leap year	artık yıl
feature	vasıf
coypu	Avrupa
enclosed	birlikte
tubular	borulu
fustian	boş
lug	kulp
sheepdog	çoban köpeği
pluralistic	çoğulcu
bowling alley	dar sokak
veteran	kıdemli
carbon paper	karbon kâğıdı
parallax	paralaks
soapbox	sabun sandığı
chess	satranç
aqualung	skuba
tennis player	tenisçi
concupiscent	tutkun
fabulist	fabl yazarı
geophysical	jeofizikle ilgili
wattmeter	güçölçer
Irish	İrlandaca
opinion	görüş
hurtful	aleyhte
